,id,type_id,sub_type_id,fixture_id,player_id,related_player_id,period_id,participant_id,addition,minute,sort_order
0,3035556,19,,18165612,25513.0,,78639.0,676,1st Red Card,45,1
1,78711655,20,1505.0,18165612,447104.0,,78639.0,377,,16,1
2,3081165,19,1496.0,18165627,34053.0,,83202.0,594,4th Yellow Card,86,1
3,3079326,19,1496.0,18165627,96158.0,,83099.0,377,1st Yellow Card,26,1
4,87868494,19,1497.0,18165627,,,83099.0,377,,27,1
5,3080429,19,1496.0,18165627,189585.0,,83202.0,377,2nd Yellow Card,55,1
6,3080656,19,1499.0,18165627,96719.0,,83202.0,377,3rd Yellow Card,66,1
7,3081247,19,1501.0,18165627,16837815.0,,83202.0,594,5th Yellow Card,90,1
8,3081263,19,1496.0,18165627,537666.0,,83202.0,377,6th Yellow Card,90,1
9,78711775,19,1496.0,18165627,100580.0,,83202.0,594,,90,1
10,3137889,19,1496.0,18165636,187128.0,,89677.0,103,3rd Yellow Card,33,1
11,3137887,19,1497.0,18165636,382624.0,,89677.0,103,2nd Yellow Card,33,1
12,3137957,19,1496.0,18165636,2511096.0,,89677.0,377,4th Yellow Card,38,1
13,3138819,19,1496.0,18165636,186510.0,,89723.0,103,5th Yellow Card,90,1
14,3137829,19,1496.0,18165636,240244.0,,89677.0,103,1st Yellow Card,27,1
15,3194963,10,,18165643,159498.0,,96760.0,3457,Penalty awarded,37,1
16,3195044,19,1496.0,18165643,2511096.0,,96760.0,377,2nd Yellow Card,43,1
17,3195156,19,1496.0,18165643,189585.0,,96760.0,377,4th Yellow Card,45,1
18,3195676,19,1496.0,18165643,186358.0,,96845.0,377,5th Yellow Card,54,1
19,3196054,19,1496.0,18165643,96719.0,,96845.0,377,7th Yellow Card,82,1
20,3194703,19,1496.0,18165643,12394118.0,,96760.0,3457,1st Yellow Card,15,1
21,3195098,19,1496.0,18165643,186536.0,,96760.0,3457,3rd Yellow Card,45,1
22,3195846,19,1496.0,18165643,65593.0,,96845.0,3457,6th Yellow Card,66,1
23,3237087,19,1496.0,18165657,189037.0,,100921.0,106,3rd Yellow Card,18,1
24,3237466,19,1496.0,18165657,185998.0,,100921.0,106,4th Yellow Card,38,1
25,3237987,19,1496.0,18165657,537666.0,,101094.0,377,8th Yellow Card,46,1
26,3238843,19,1497.0,18165657,26354.0,,101094.0,106,10th Yellow Card,83,1
