fixture_id,fixture_season_id,fixture_name,fixture_result_info,fixture_starting_at,fixture_leg
16971452,16548,Sydney vs Perth Glory,Sydney won after full-time.,2020-08-26 10:10:00,1/1
17000933,16548,Sydney vs Melbourne City,Sydney won after extra-time.,2020-08-30 08:30:00,1/1
