,id,country_id,city_id,name,address,zipcode,latitude,longitude,capacity,image_path,city_name,surface,national_team
120,151,462.0,53964.0,Etihad Stadium,Etihad Campus Manchester M11 3FF,,53.483056,-2.200278,53400.0,https://cdn.sportmonks.com/images/soccer/venues/23/151.png,Manchester,grass,False
121,200,462.0,13495.0,Turf Moor,Harry Potts Way,,53.789167,-2.230278,21944.0,https://cdn.sportmonks.com/images/soccer/venues/8/200.png,Burnley,grass,False
122,201,462.0,51663.0,Selhurst Park,Holmesdale Road,,51.419728,-0.502059,25073.0,https://cdn.sportmonks.com/images/soccer/venues/9/201.png,London,grass,False
123,204,462.0,51663.0,Emirates Stadium,"Arsenal Football Club Highbury House 75 Drayton Park London, N5 1BU",,51.556667,-0.106111,60260.0,https://cdn.sportmonks.com/images/soccer/venues/12/204.png,London,grass,False
124,206,462.0,53964.0,Old Trafford,Sir Matt Busby Way,,53.463056,-2.291389,74879.0,https://cdn.sportmonks.com/images/soccer/venues/14/206.png,Manchester,grass,False
125,214,462.0,51663.0,London Stadium,"Marshgate Lane, Stratford",,51.538611,-0.016389,60000.0,https://cdn.sportmonks.com/images/soccer/venues/22/214.png,London,grass,False
126,230,462.0,51090.0,Anfield,Anfield Road,,53.430833,-2.960833,60000.0,https://cdn.sportmonks.com/images/soccer/venues/6/230.png,Liverpool,grass,False
127,449,462.0,62163.0,St. James' Park,St. James' Street,,55.009300,-1.564070,3500.0,https://cdn.sportmonks.com/images/soccer/venues/1/449.png,Newcastle upon Tyne,grass,False
128,480,462.0,28137.0,The American Express Community Stadium,Village Way,,50.861822,-0.083278,30750.0,https://cdn.sportmonks.com/images/soccer/venues/0/480.png,Falmer,grass,False
129,485,462.0,51663.0,Craven Cottage,Stevenage Road,,51.475,-0.221667,24500.0,https://cdn.sportmonks.com/images/soccer/venues/5/485.png,London,grass,False
130,492,462.0,99578.0,Molineux Stadium,Waterloo Road,,52.590195,-2.131226,30852.0,https://cdn.sportmonks.com/images/soccer/venues/12/492.png,Wolverhampton,grass,False
131,542,462.0,63537.0,The City Ground,Pavilion Road,,52.940000,-1.132778,30445.0,https://cdn.sportmonks.com/images/soccer/venues/30/542.png,Nottingham,grass,False
132,837,462.0,52758.0,Kenilworth Road Stadium,1 Maple Road,,51.884167,-0.431667,12000.0,https://cdn.sportmonks.com/images/soccer/venues/5/837.png,Luton,grass,False
133,4977,224.0,87825.0,Stadion Chavdar Tsvetkov,,,42.9605002,23.3456154,3500.0,,Svoge,grass,False
134,281313,462.0,51663.0,Tottenham Hotspur Stadium,"Bill Nicholson Way, 748 High Road",,51.604444,-0.066389,60463.0,https://cdn.sportmonks.com/images/core/venues/1/281313.png,London,grass,False
135,321614,462.0,51663.0,Stamford Bridge,Fulham Road,,51.481667,-0.191111,40341.0,https://cdn.sportmonks.com/images/soccer/venues/14/321614.png,London,grass,False
136,338817,462.0,11961.0,Brentford Community Stadium,166 Lionel Rd N,TW8 9QT,51.488183,-0.302639,17250.0,https://cdn.sportmonks.com/images/core/venues/1/338817.png,Brentford,grass,False
137,339719,462.0,82625.0,Bramall Lane (Sheffield),,,,,,https://cdn.sportmonks.com/images/core/venues/7/339719.png,Sheffield,,False
