,id,starting_at,ending_at,teams
37,1584,2015-08-22,2016-05-15,"[708, 346, 10824, 1216, 113, 102, 97, 109, 43, 37, 4070, 613, 8513, 2714, 597, 2930, 397, 522, 1123, 625]"
38,2061,2014-08-23,2015-05-23,"[429, 36, 3457, 1099, 60, 676, 83, 594, 214, 7980, 618, 106, 13258, 528, 931, 377, 126, 3477, 3468, 103]"
39,2063,2015-08-21,2016-05-15,"[377, 126, 3477, 3468, 103, 485, 344, 429, 2921, 36, 3457, 60, 676, 83, 594, 214, 7980, 106, 13258, 528]"
40,3,2013-08-17,2014-05-11,"[11, 8, 19, 69, 30, 51, 14, 3, 22, 20, 33, 13, 10, 9, 1, 65, 18, 15, 6, 26]"
41,7,2012-08-18,2013-05-19,"[11, 8, 19, 30, 47, 14, 3, 17, 20, 33, 13, 10, 9, 1, 65, 18, 15, 6, 26, 23]"
42,215,2012-08-24,2013-05-18,"[510, 3321, 3543, 68, 82, 3431, 67, 90, 1092, 683, 3319, 956, 2554, 2726, 366, 794, 503, 2708]"
43,216,2013-08-09,2014-05-10,"[510, 3321, 3565, 3543, 68, 82, 67, 90, 683, 3319, 956, 2554, 2726, 366, 794, 503, 2708, 3317]"
44,1581,2012-08-25,2013-05-19,"[9133, 708, 346, 3691, 1216, 113, 102, 97, 109, 43, 37, 613, 1343, 8513, 597, 398, 2930, 522, 625, 585]"
45,1582,2013-08-24,2014-05-18,"[9133, 708, 346, 10714, 113, 102, 97, 109, 43, 37, 613, 8513, 2714, 597, 398, 2930, 522, 1123, 625, 585]"
46,2059,2012-08-18,2013-06-01,"[3468, 103, 485, 429, 3968, 36, 3457, 361, 645, 676, 83, 594, 214, 7980, 106, 13258, 528, 459, 377, 126]"
47,2060,2013-08-17,2014-05-18,"[377, 126, 3477, 3468, 103, 485, 36, 3457, 1099, 361, 676, 83, 594, 214, 7980, 618, 106, 13258, 528, 459]"
