,fixture_id,name,league_id,season_id,venue_id,formation_away,formation_home,referee
0,401484,Málaga vs Osasuna,564,853,9233.0,5-3-2,4-2-3-1,10110
1,401591,Espanyol vs Málaga,564,853,9220.0,4-2-3-1,4-4-2,8491
2,402164,Málaga vs Villarreal,564,853,9233.0,4-4-2,4-4-2,8305
3,403190,Las Palmas vs Málaga,564,853,1716.0,4-2-3-1,4-3-3,11097
4,403247,Málaga vs SD Eibar,564,853,9233.0,4-2-3-1,4-4-2,10712
5,403341,Real Betis vs Málaga,564,853,68.0,4-4-2,4-4-2,10059
6,403509,Málaga vs Athletic Club,564,853,9233.0,4-2-3-1,4-4-2,2446637
7,403580,Deportivo Alavés vs Málaga,564,853,1747.0,4-4-2,4-3-3,11171
8,403704,Málaga vs Leganés,564,853,9233.0,4-2-3-1,4-2-3-1,11541
9,403752,Atlético Madrid vs Málaga,564,853,5188.0,5-4-1,4-4-2,8522
10,403818,Málaga vs Sporting Gijón,564,853,9233.0,4-4-2,4-2-3-1,8496
11,403930,FC Barcelona vs Málaga,564,853,,5-4-1,4-3-3,11150
12,404014,Málaga vs Deportivo La Coruña,564,853,9233.0,4-2-3-1,4-4-2,9517
13,1096305,Córdoba vs Málaga,570,846,338.0,4-2-3-1,4-2-3-1,2809534
14,404178,Valencia vs Málaga,564,853,9240.0,4-2-3-1,3-5-2,10717
15,404198,Málaga vs Granada,564,853,9233.0,4-3-3,4-2-3-1,10063
16,404349,Sevilla vs Málaga,564,853,177.0,4-2-3-1,3-5-2,10590
17,1096316,Málaga vs Córdoba,570,846,9233.0,4-2-3-1,4-4-2,2809550
18,404654,Celta de Vigo vs Málaga,564,853,9239.0,4-2-3-1,4-3-3,10090
19,404768,Málaga vs Real Sociedad,564,853,9233.0,4-3-3,4-2-3-1,2814200
20,404796,Real Madrid vs Málaga,564,853,2020.0,4-2-3-1,4-3-3,8500
21,404868,Osasuna vs Málaga,564,853,56.0,4-2-3-1,5-3-2,11154
22,404965,Málaga vs Espanyol,564,853,9233.0,4-2-3-1,4-2-3-1,9237
23,405100,Villarreal vs Málaga,564,853,2028.0,4-2-3-1,4-4-2,9521
24,405234,Málaga vs Las Palmas,564,853,9233.0,4-2-3-1,4-2-3-1,11107
25,405283,SD Eibar vs Málaga,564,853,9242.0,4-2-3-1,4-2-3-1,8528
26,405350,Málaga vs Real Betis,564,853,9233.0,5-4-1,4-2-3-1,11177
27,405515,Athletic Club vs Málaga,564,853,9162.0,4-2-3-1,4-2-3-1,10068
28,401513,Granada vs Villarreal,564,853,9237.0,4-4-2,4-2-3-1,8518
29,401666,Villarreal vs Sevilla,564,853,2028.0,3-5-2,4-4-2,2446819
31,403218,Villarreal vs Real Sociedad,564,853,2028.0,4-2-3-1,4-4-2,10585
32,403266,Real Madrid vs Villarreal,564,853,2020.0,4-2-3-1,4-3-3,10083
33,403409,Villarreal vs Osasuna,564,853,2028.0,4-4-2,4-4-2,9230
34,403502,Espanyol vs Villarreal,564,853,9220.0,4-2-3-1,4-4-2,9943
35,403610,Villarreal vs Celta de Vigo,564,853,2028.0,4-3-3,4-4-2,8521
36,403695,Villarreal vs Las Palmas,564,853,2028.0,4-2-3-1,4-4-2,10114
37,403773,SD Eibar vs Villarreal,564,853,9242.0,4-4-2,4-4-2,8357
38,403893,Villarreal vs Real Betis,564,853,2028.0,4-4-2,4-4-2,9516
39,403986,Athletic Club vs Villarreal,564,853,9162.0,4-2-3-1,4-2-3-1,11101
40,404053,Villarreal vs Deportivo Alavés,564,853,2028.0,4-2-3-1,4-4-2,8310
42,1096245,Toledo vs Villarreal,570,846,3920.0,4-4-2,5-3-2,2809587
43,404119,Leganés vs Villarreal,564,853,293.0,4-4-2,5-4-1,10800
44,404296,Villarreal vs Atlético Madrid,564,853,2028.0,4-4-2,4-4-2,11175
45,404321,Sporting Gijón vs Villarreal,564,853,9224.0,4-4-2,5-4-1,9518
46,1096262,Villarreal vs Toledo,570,846,9185.0,4-2-3-1,4-4-2,2809570
47,1096034,Real Sociedad vs Villarreal,570,846,133.0,4-4-2,4-3-3,2809636
48,404664,Villarreal vs FC Barcelona,564,853,2028.0,4-3-3,4-4-2,10719
49,1096043,Villarreal vs Real Sociedad,570,846,2028.0,4-3-3,4-4-2,2809624
50,404712,Deportivo La Coruña vs Villarreal,564,853,39.0,4-4-2,4-2-3-1,9235
51,404815,Villarreal vs Valencia,564,853,2028.0,4-3-3,4-4-2,10091
52,404880,Villarreal vs Granada,564,853,2028.0,5-4-1,4-2-3-1,10065
53,405003,Sevilla vs Villarreal,564,853,177.0,4-2-3-1,4-4-2,11569
55,405196,Real Sociedad vs Villarreal,564,853,133.0,4-4-2,4-3-3,11176
56,405332,Villarreal vs Real Madrid,564,853,2028.0,4-3-3,4-2-3-1,8502
57,405369,Osasuna vs Villarreal,564,853,56.0,4-4-2,5-3-2,10094
58,405467,Villarreal vs Espanyol,564,853,2028.0,4-2-3-1,4-4-2,11157
59,401544,Real Sociedad vs Real Madrid,564,853,133.0,4-3-3,4-2-3-1,10031
60,401619,Real Madrid vs Celta de Vigo,564,853,2020.0,4-2-3-1,4-3-3,11146
61,401693,Real Madrid vs Osasuna,564,853,2020.0,5-3-2,4-3-3,8353
62,403228,Espanyol vs Real Madrid,564,853,9220.0,4-3-3,4-4-2,11169
64,403380,Las Palmas vs Real Madrid,564,853,1716.0,4-3-3,4-2-3-1,8520
65,403492,Real Madrid vs SD Eibar,564,853,2020.0,4-1-4-1,4-3-3,10035
66,403570,Real Betis vs Real Madrid,564,853,68.0,4-3-3,4-3-3,8494
67,403716,Real Madrid vs Athletic Club,564,853,2020.0,4-2-3-1,4-3-3,10714
68,1096137,Cultural Leonesa vs Real Madrid,570,846,285880.0,4-3-3,4-2-3-1,2809632
69,403742,Deportivo Alavés vs Real Madrid,564,853,1747.0,4-3-3,5-3-2,11100
70,403865,Real Madrid vs Leganés,564,853,2020.0,4-3-3,4-3-3,8388
71,403951,Atlético Madrid vs Real Madrid,564,853,5188.0,4-3-3,4-4-2,8358
72,404026,Real Madrid vs Sporting Gijón,564,853,2020.0,5-4-1,4-2-3-1,11174
73,1096146,Real Madrid vs Cultural Leonesa,570,846,2020.0,4-2-3-1,4-3-3,2809610
74,404112,FC Barcelona vs Real Madrid,564,853,,4-2-3-1,4-3-3,10589
75,404235,Real Madrid vs Deportivo La Coruña,564,853,2020.0,4-2-3-1,4-2-3-1,10117
76,1096103,Real Madrid vs Sevilla,570,846,2020.0,4-1-4-1,4-3-3,2809628
77,404597,Real Madrid vs Granada,564,853,2020.0,5-4-1,4-3-3,9519
78,1096110,Sevilla vs Real Madrid,570,846,177.0,4-4-2,3-4-2-1,2809522
79,404759,Sevilla vs Real Madrid,564,853,177.0,3-5-2,4-2-3-1,11571
80,1095627,Real Madrid vs Celta de Vigo,570,846,2020.0,4-2-3-1,4-3-3,2809711
82,1095761,Celta de Vigo vs Real Madrid,570,846,9239.0,4-4-2,4-3-3,3377371
83,404945,Real Madrid vs Real Sociedad,564,853,2020.0,4-3-3,4-3-3,10803
84,405090,Osasuna vs Real Madrid,564,853,56.0,3-5-2,4-4-2,10721
85,405168,Real Madrid vs Espanyol,564,853,2020.0,4-5-1,4-3-3,11570
86,404577,Valencia vs Real Madrid,564,853,9240.0,4-3-3,4-2-3-1,11152
88,405401,Real Madrid vs Las Palmas,564,853,2020.0,4-1-4-1,4-3-3,8365
89,405457,SD Eibar vs Real Madrid,564,853,9242.0,4-3-3,4-2-3-1,10095
91,401636,Las Palmas vs Granada,564,853,1716.0,4-4-2,4-2-3-1,9228
92,403132,Granada vs SD Eibar,564,853,9237.0,4-2-3-1,4-2-3-1,11538
93,403149,Real Betis vs Granada,564,853,68.0,4-2-3-1,4-3-3,2446622
94,403295,Granada vs Athletic Club,564,853,9237.0,4-2-3-1,4-2-3-1,10034
95,403427,Deportivo Alavés vs Granada,564,853,1747.0,4-2-3-1,4-3-3,10084
96,403447,Granada vs Leganés,564,853,9237.0,4-2-3-1,4-2-3-1,10113
97,403558,Atlético Madrid vs Granada,564,853,5188.0,4-2-3-1,4-4-2,11148
98,403669,Granada vs Sporting Gijón,564,853,9237.0,4-4-2,4-4-2,9515
99,403764,FC Barcelona vs Granada,564,853,,5-4-1,4-3-3,10037
100,403827,Granada vs Deportivo La Coruña,564,853,9237.0,4-2-3-1,5-4-1,8309
101,403966,Valencia vs Granada,564,853,9240.0,5-4-1,4-3-3,11173
102,404072,Celta de Vigo vs Granada,564,853,9239.0,5-4-1,4-4-2,11543
104,1096329,Granada vs Osasuna,570,846,9237.0,4-4-2,4-4-2,2809562
105,404100,Granada vs Sevilla,564,853,9237.0,4-2-3-1,4-2-3-1,10088
107,404341,Granada vs Real Sociedad,564,853,9237.0,4-2-3-1,4-3-3,9234
108,1096337,Osasuna vs Granada,570,846,56.0,4-2-3-1,4-4-2,2809555
110,404749,Granada vs Osasuna,564,853,9237.0,5-3-2,4-2-3-1,11545
111,404786,Espanyol vs Granada,564,853,9220.0,4-3-3,4-2-3-1,10592
113,405033,Granada vs Las Palmas,564,853,9237.0,4-3-3,5-4-1,2446744
114,405139,SD Eibar vs Granada,564,853,9242.0,5-3-2,4-2-3-1,2814183
115,405150,Granada vs Real Betis,564,853,9237.0,5-3-2,5-3-2,9238
116,405311,Athletic Club vs Granada,564,853,9162.0,5-4-1,4-2-3-1,11548
117,405410,Granada vs Deportivo Alavés,564,853,9237.0,4-2-3-1,5-4-1,10723
118,405448,Leganés vs Granada,564,853,293.0,5-4-1,4-2-3-1,10045
119,401502,FC Barcelona vs Real Betis,564,853,,5-3-2,4-3-3,8304
120,401582,Real Betis vs Deportivo La Coruña,564,853,68.0,4-2-3-1,4-3-3,10584
121,403121,Valencia vs Real Betis,564,853,9240.0,4-3-3,4-3-3,10082
123,403258,Sevilla vs Real Betis,564,853,177.0,4-2-3-1,4-3-3,8519
125,403438,Real Sociedad vs Real Betis,564,853,133.0,4-3-3,4-3-3,11540
127,403628,Osasuna vs Real Betis,564,853,56.0,4-4-2,5-3-2,2446670
128,403789,Real Betis vs Espanyol,564,853,68.0,4-4-2,4-4-2,11149
130,403911,Real Betis vs Las Palmas,564,853,68.0,4-3-3,5-3-2,10087
131,404005,SD Eibar vs Real Betis,564,853,9242.0,5-3-2,4-2-3-1,9233
132,1096225,Real Betis vs Deportivo La Coruña,570,846,68.0,4-2-3-1,3-5-2,5000742
133,404135,Real Betis vs Celta de Vigo,564,853,68.0,4-2-3-1,5-3-2,11102
134,404273,Real Betis vs Athletic Club,564,853,68.0,4-2-3-1,4-3-1-2,8391
135,404311,Deportivo Alavés vs Real Betis,564,853,1747.0,5-3-2,4-4-1-1,10718
136,1096234,Deportivo La Coruña vs Real Betis,570,846,39.0,5-3-2,4-2-3-1,2809591
137,404645,Real Betis vs Leganés,564,853,68.0,5-4-1,5-3-2,8525
138,404702,Atlético Madrid vs Real Betis,564,853,5188.0,5-3-2,4-4-2,10591
139,404844,Real Betis vs Sporting Gijón,564,853,68.0,4-2-3-1,5-3-2,11568
140,404914,Real Betis vs FC Barcelona,564,853,68.0,4-3-3,5-3-2,11572
141,405063,Real Betis vs Valencia,564,853,68.0,4-2-3-1,5-3-2,11547
143,405262,Real Betis vs Sevilla,564,853,68.0,3-4-2-1,5-3-2,2446678
145,405438,Real Betis vs Real Sociedad,564,853,68.0,4-4-2,5-4-1,10724
146,401535,Sporting Gijón vs Athletic Club,564,853,9224.0,4-2-3-1,4-2-3-1,1661118
147,401649,Deportivo Alavés vs Sporting Gijón,564,853,1747.0,4-2-3-1,4-2-3-1,9941
148,403112,Sporting Gijón vs Leganés,564,853,9224.0,5-3-2,4-2-3-1,9512
149,403171,Atlético Madrid vs Sporting Gijón,564,853,5188.0,4-2-3-1,4-4-2,9229
150,403273,Celta de Vigo vs Sporting Gijón,564,853,9239.0,4-4-2,4-3-3,10796
151,403361,Sporting Gijón vs FC Barcelona,564,853,9224.0,4-3-3,4-2-3-1,2446552
152,403474,Deportivo La Coruña vs Sporting Gijón,564,853,39.0,4-2-3-1,4-2-3-1,5106796
153,403599,Sporting Gijón vs Valencia,564,853,9224.0,4-2-3-1,4-4-2,9944
155,403734,Sporting Gijón vs Sevilla,564,853,9224.0,3-4-1-2,4-4-2,10715
157,403976,Sporting Gijón vs Real Sociedad,564,853,9224.0,4-3-3,4-4-2,10038
159,1096175,Sporting Gijón vs SD Eibar,570,846,9224.0,4-4-2,4-2-3-1,3382246
160,404169,Sporting Gijón vs Osasuna,564,853,9224.0,4-4-2,5-4-1,11151
161,404263,Espanyol vs Sporting Gijón,564,853,9220.0,5-4-1,4-4-2,2446668
163,1096188,SD Eibar vs Sporting Gijón,570,846,9242.0,4-4-2,4-2-3-1,"[{'id': 2809593, 'fixture_id': 1096188, 'referee_id': 49721, 'type_id': 8}, {'id': 2809596, 'fixture_id': 1096188, 'referee_id': 16997, 'type_id': 9}, {'id': 3378588, 'fixture_id': 1096188, 'referee_id': 12810, 'type_id': 7}]"
164,404616,Las Palmas vs Sporting Gijón,564,853,1716.0,5-4-1,4-1-4-1,9948
165,404738,Sporting Gijón vs SD Eibar,564,853,9224.0,4-2-3-1,4-4-2,8361
167,404936,Athletic Club vs Sporting Gijón,564,853,9162.0,4-1-4-1,4-2-3-1,10593
168,405012,Sporting Gijón vs Deportivo Alavés,564,853,9224.0,4-2-3-1,4-2-3-1,8501
169,405110,Leganés vs Sporting Gijón,564,853,293.0,4-1-4-1,4-2-3-1,8527
170,405159,Sporting Gijón vs Atlético Madrid,564,853,9224.0,4-4-2,4-5-1,10093
171,405323,Sporting Gijón vs Celta de Vigo,564,853,9224.0,4-2-3-1,4-3-3,11156
172,405379,FC Barcelona vs Sporting Gijón,564,853,9236.0,4-5-1,3-4-3,11108
173,405486,Sporting Gijón vs Deportivo La Coruña,564,853,9224.0,4-2-3-1,4-3-3,2814165
174,401493,Deportivo La Coruña vs SD Eibar,564,853,39.0,4-2-3-1,4-2-3-1,10794
176,403141,Deportivo La Coruña vs Athletic Club,564,853,39.0,4-2-3-1,4-4-2,1661388
177,403238,Deportivo Alavés vs Deportivo La Coruña,564,853,1747.0,4-4-2,5-4-1,10033
178,403322,Deportivo La Coruña vs Leganés,564,853,39.0,4-2-3-1,4-2-3-1,8306
179,403400,Atlético Madrid vs Deportivo La Coruña,564,853,5188.0,4-2-3-1,4-4-2,8493
181,403549,FC Barcelona vs Deportivo La Coruña,564,853,,4-4-2,3-4-3,11099
182,403677,Celta de Vigo vs Deportivo La Coruña,564,853,9239.0,4-4-2,4-3-3,10060
183,403809,Deportivo La Coruña vs Valencia,564,853,39.0,4-2-3-1,4-2-3-1,10086
185,403921,Deportivo La Coruña vs Sevilla,564,853,39.0,3-4-2-1,4-3-1-2,8389
188,404188,Deportivo La Coruña vs Real Sociedad,564,853,39.0,4-3-3,4-2-3-1,9947
190,404371,Deportivo La Coruña vs Osasuna,564,853,39.0,5-4-1,4-2-3-1,11103
192,1095996,Deportivo La Coruña vs Deportivo Alavés,570,846,39.0,4-2-3-1,4-2-3-1,"[{'id': 2809655, 'fixture_id': 1095996, 'referee_id': 43062, 'type_id': 9}, {'id': 3713710, 'fixture_id': 1095996, 'referee_id': 12829, 'type_id': 7}, {'id': 5314094, 'fixture_id': 1095996, 'referee_id': 11712, 'type_id': 8}]"
193,404587,Espanyol vs Deportivo La Coruña,564,853,9220.0,4-4-2,4-2-3-1,11153
194,1096006,Deportivo Alavés vs Deportivo La Coruña,570,846,1747.0,4-2-3-1,4-2-3-1,2809640
196,404777,Las Palmas vs Deportivo La Coruña,564,853,1716.0,4-4-2,4-1-4-1,8362
197,404896,SD Eibar vs Deportivo La Coruña,564,853,9242.0,4-2-3-1,4-2-3-1,10042
