,fixture_id,name,league_id,season_id,venue_id,formation_away,formation_home,referee
0,18156603,FC Köln vs Hertha BSC,82,18444,1946,4-3-3,4-3-1-2,15803
1,18156610,Hertha BSC vs VfL Wolfsburg,82,18444,1944,4-2-3-1,4-2-3-1,12145
2,18156613,FC Bayern München vs Hertha BSC,82,18444,53,4-2-3-1,4-2-3-1,926
3,18156629,VfL Bochum 1848 vs Hertha BSC,82,18444,378,3-4-2-1,4-2-3-1,11693
4,18156637,Hertha BSC vs SpVgg Greuther Fürth,82,18444,1944,4-2-2-2,3-4-2-1,17233
5,18156640,RB Leipzig vs Hertha BSC,82,18444,2140,3-4-2-1,3-4-2-1,17352
6,18156655,Hertha BSC vs SC Freiburg,82,18444,1944,3-4-3,3-4-2-1,15419
7,18156659,Eintracht Frankfurt vs Hertha BSC,82,18444,2169,4-2-3-1,3-4-1-2,16778
8,18156672,Hertha BSC vs Borussia Mönchengladbach,82,18444,1944,3-4-1-2,4-2-3-1,14475
9,18156682,TSG Hoffenheim vs Hertha BSC,82,18444,1618,4-2-3-1,3-4-1-2,926
10,18156690,Hertha BSC vs Bayer 04 Leverkusen,82,18444,1944,4-2-3-1,4-2-3-1,15803
11,18156696,FC Union Berlin vs Hertha BSC,82,18444,420,4-2-3-1,3-5-2,15406
12,18156708,Hertha BSC vs FC Augsburg,82,18444,1944,4-4-2,3-4-2-1,17356
13,18156716,VfB Stuttgart vs Hertha BSC,82,18444,1945,4-4-2,3-5-2,11687
14,18156726,Hertha BSC vs DSC Arminia Bielefeld,82,18444,1944,4-2-3-1,4-2-2-2,25431
15,18156736,FSV Mainz 05 vs Hertha BSC,82,18444,2103,4-4-2,3-5-2,15402
16,18156744,Hertha BSC vs Borussia Dortmund,82,18444,1944,4-2-3-1,4-2-2-2,74368
17,18156754,Hertha BSC vs FC Köln,82,18444,1944,4-1-3-2,4-4-2,17233
18,18156758,VfL Wolfsburg vs Hertha BSC,82,18444,80,4-4-2,3-4-2-1,15803
19,18156772,Hertha BSC vs FC Bayern München,82,18444,1944,3-4-2-1,3-4-1-2,14473
20,18156781,Hertha BSC vs VfL Bochum 1848,82,18444,1944,4-1-4-1,4-4-2,74368
21,18156792,SpVgg Greuther Fürth vs Hertha BSC,82,18444,2001,4-4-2,4-3-3,15730
22,18156799,Hertha BSC vs RB Leipzig,82,18444,1944,3-3-2-2,4-3-3,15419
23,18156806,SC Freiburg vs Hertha BSC,82,18444,2063,4-4-2,4-4-1-1,76290
24,18156598,FC Union Berlin vs Bayer 04 Leverkusen,82,18444,420,4-2-3-1,5-3-2,12075
25,18156609,TSG Hoffenheim vs FC Union Berlin,82,18444,1618,3-5-2,4-2-2-2,17352
26,18156616,FC Union Berlin vs Borussia Mönchengladbach,82,18444,420,4-2-3-1,3-5-2,15406
27,18156625,FC Union Berlin vs FC Augsburg,82,18444,420,5-3-2,3-5-2,15399
28,18156632,Borussia Dortmund vs FC Union Berlin,82,18444,2166,3-4-1-2,4-3-3,926
29,18156643,FC Union Berlin vs DSC Arminia Bielefeld,82,18444,420,4-2-2-2,3-5-2,221
30,18156654,FSV Mainz 05 vs FC Union Berlin,82,18444,2103,3-4-1-2,3-4-2-1,17233
31,18156661,FC Union Berlin vs VfL Wolfsburg,82,18444,420,4-2-3-1,3-5-2,17352
32,18156670,VfB Stuttgart vs FC Union Berlin,82,18444,1945,3-5-2,3-1-4-2,11719
33,18156679,FC Union Berlin vs FC Bayern München,82,18444,420,4-2-3-1,3-5-2,15402
34,18156691,FC Köln vs FC Union Berlin,82,18444,1946,3-5-2,4-2-3-1,17233
36,18156706,Eintracht Frankfurt vs FC Union Berlin,82,18444,2169,3-5-2,3-4-2-1,17352
37,18156714,FC Union Berlin vs RB Leipzig,82,18444,420,3-4-2-1,5-3-2,15402
38,18156729,SpVgg Greuther Fürth vs FC Union Berlin,82,18444,2001,3-5-2,4-3-3,926
39,18156733,FC Union Berlin vs SC Freiburg,82,18444,420,3-4-3,3-1-4-2,16778
40,18156746,VfL Bochum 1848 vs FC Union Berlin,82,18444,378,3-4-1-2,4-3-3,12075
41,18156751,Bayer 04 Leverkusen vs FC Union Berlin,82,18444,1947,3-1-4-2,4-2-3-1,12145
42,18156759,FC Union Berlin vs TSG Hoffenheim,82,18444,420,3-5-2,3-1-4-2,15399
43,18156769,Borussia Mönchengladbach vs FC Union Berlin,82,18444,180,3-4-3,3-4-2-1,15406
44,18156780,FC Augsburg vs FC Union Berlin,82,18444,2165,3-3-2-2,4-4-2,15402
45,18156787,FC Union Berlin vs Borussia Dortmund,82,18444,420,4-3-3,3-5-2,12145
46,18156800,DSC Arminia Bielefeld vs FC Union Berlin,82,18444,1719,3-5-2,4-2-3-1,15730
47,18156804,FC Union Berlin vs FSV Mainz 05,82,18444,420,3-4-2-1,3-3-2-2,14473
48,18156597,VfL Wolfsburg vs VfL Bochum 1848,82,18444,80,4-3-3,4-2-3-1,17356
50,18156615,VfL Wolfsburg vs RB Leipzig,82,18444,80,4-2-3-1,4-2-3-1,17233
51,18156630,SpVgg Greuther Fürth vs VfL Wolfsburg,82,18444,2001,4-2-3-1,4-4-2,15803
52,18156633,VfL Wolfsburg vs Eintracht Frankfurt,82,18444,80,4-2-3-1,4-2-3-1,15400
53,18156646,TSG Hoffenheim vs VfL Wolfsburg,82,18444,1618,4-2-3-1,4-2-2-2,228
54,18156652,VfL Wolfsburg vs Borussia Mönchengladbach,82,18444,80,3-5-2,4-2-3-1,17356
56,18156669,VfL Wolfsburg vs SC Freiburg,82,18444,80,3-4-3,4-3-3,25431
57,18156678,Bayer 04 Leverkusen vs VfL Wolfsburg,82,18444,1947,3-4-2-1,3-4-2-1,16778
58,18156687,VfL Wolfsburg vs FC Augsburg,82,18444,80,4-4-1-1,3-4-2-1,221
59,18156702,DSC Arminia Bielefeld vs VfL Wolfsburg,82,18444,1719,3-4-2-1,4-2-3-1,15399
60,18156705,VfL Wolfsburg vs Borussia Dortmund,82,18444,80,4-2-3-1,3-4-2-1,926
61,18156718,FSV Mainz 05 vs VfL Wolfsburg,82,18444,2103,3-4-3,3-5-2,11719
62,18156723,VfL Wolfsburg vs VfB Stuttgart,82,18444,80,3-4-2-1,4-2-3-1,17352
63,18156731,VfL Wolfsburg vs FC Köln,82,18444,80,4-1-3-2,4-2-3-1,15803
64,18156739,FC Bayern München vs VfL Wolfsburg,82,18444,53,3-4-2-1,4-2-3-1,25431
65,18156755,VfL Bochum 1848 vs VfL Wolfsburg,82,18444,378,3-4-2-1,4-3-3,15730
67,18156766,RB Leipzig vs VfL Wolfsburg,82,18444,2637,3-4-2-1,3-4-2-1,228
68,18156777,VfL Wolfsburg vs SpVgg Greuther Fürth,82,18444,80,4-3-3,3-4-2-1,15399
69,18156785,Eintracht Frankfurt vs VfL Wolfsburg,82,18444,339832,3-4-2-1,3-4-2-1,17356
70,18156795,VfL Wolfsburg vs TSG Hoffenheim,82,18444,80,3-4-3,3-4-2-1,15400
71,18156805,Borussia Mönchengladbach vs VfL Wolfsburg,82,18444,180,3-4-2-1,3-4-2-1,12075
73,18156607,Bayer 04 Leverkusen vs Borussia Mönchengladbach,82,18444,1947,4-2-3-1,4-2-3-1,16778
74,18156619,FC Augsburg vs Bayer 04 Leverkusen,82,18444,2165,4-2-3-1,4-2-3-1,11687
75,18156624,Bayer 04 Leverkusen vs Borussia Dortmund,82,18444,1947,4-3-2-1,4-2-3-1,228
76,18156634,VfB Stuttgart vs Bayer 04 Leverkusen,82,18444,1945,4-2-3-1,3-4-1-2,14475
77,18156642,Bayer 04 Leverkusen vs FSV Mainz 05,82,18444,1947,3-5-2,4-2-3-1,14473
78,18156656,DSC Arminia Bielefeld vs Bayer 04 Leverkusen,82,18444,1719,4-2-3-1,4-4-2,15400
79,18156660,Bayer 04 Leverkusen vs FC Bayern München,82,18444,1947,4-2-3-1,4-2-3-1,926
80,18156674,FC Köln vs Bayer 04 Leverkusen,82,18444,1946,4-2-3-1,4-3-1-2,15400
83,18156695,Bayer 04 Leverkusen vs VfL Bochum 1848,82,18444,1947,4-3-3,4-4-2,15730
84,18156704,RB Leipzig vs Bayer 04 Leverkusen,82,18444,2140,4-2-3-1,4-3-1-2,14475
85,18156713,Bayer 04 Leverkusen vs SpVgg Greuther Fürth,82,18444,1947,4-4-1-1,4-2-3-1,12075
86,18156724,Eintracht Frankfurt vs Bayer 04 Leverkusen,82,18444,2169,4-2-3-1,3-4-2-1,221
87,18156732,Bayer 04 Leverkusen vs TSG Hoffenheim,82,18444,1947,3-4-1-2,4-2-3-1,17233
88,18156742,SC Freiburg vs Bayer 04 Leverkusen,82,18444,2063,4-3-2-1,4-2-3-1,14475
90,18156760,Borussia Mönchengladbach vs Bayer 04 Leverkusen,82,18444,180,4-2-3-1,3-4-2-1,17352
91,18156768,Bayer 04 Leverkusen vs FC Augsburg,82,18444,1947,4-4-2,4-1-4-1,321
92,18156776,Borussia Dortmund vs Bayer 04 Leverkusen,82,18444,2166,4-2-3-1,4-3-3,228
93,18156786,Bayer 04 Leverkusen vs VfB Stuttgart,82,18444,1947,4-3-2-1,4-2-3-1,15406
94,18156797,FSV Mainz 05 vs Bayer 04 Leverkusen,82,18444,2103,4-2-3-1,3-4-2-1,14475
95,18156803,Bayer 04 Leverkusen vs DSC Arminia Bielefeld,82,18444,1947,4-2-3-1,4-2-3-1,15399
96,18156602,DSC Arminia Bielefeld vs SC Freiburg,82,18444,1719,3-4-2-1,4-3-1-2,926
97,18156608,SC Freiburg vs Borussia Dortmund,82,18444,2063,4-3-1-2,4-4-2,11693
98,18156617,VfB Stuttgart vs SC Freiburg,82,18444,1945,4-4-2,3-4-2-1,17356
99,18156627,SC Freiburg vs FC Köln,82,18444,2063,4-1-3-2,4-4-2,15402
100,18156635,FSV Mainz 05 vs SC Freiburg,82,18444,2103,3-4-3,3-5-2,11687
101,18156645,SC Freiburg vs FC Augsburg,82,18444,2063,3-5-2,3-4-3,15730
103,18156663,SC Freiburg vs RB Leipzig,82,18444,2063,4-3-3,3-4-3,228
105,18156681,SC Freiburg vs SpVgg Greuther Fürth,82,18444,2063,4-3-3,4-2-3-1,15406
106,18156685,FC Bayern München vs SC Freiburg,82,18444,53,3-4-3,4-2-3-1,17352
107,18156698,SC Freiburg vs Eintracht Frankfurt,82,18444,2063,3-4-2-1,3-4-3,11719
109,18156710,VfL Bochum 1848 vs SC Freiburg,82,18444,378,4-4-1-1,4-3-3,15419
110,18156715,Borussia Mönchengladbach vs SC Freiburg,82,18444,180,4-4-2,3-4-1-2,15803
111,18156725,SC Freiburg vs TSG Hoffenheim,82,18444,2063,3-4-3,4-4-1-1,17356
114,18156752,SC Freiburg vs DSC Arminia Bielefeld,82,18444,2063,4-3-3,4-2-3-1,15402
115,18156757,Borussia Dortmund vs SC Freiburg,82,18444,2166,4-4-2,4-3-3,11719
116,18156770,SC Freiburg vs VfB Stuttgart,82,18444,2088,3-4-2-1,4-2-3-1,17233
117,18156783,FC Köln vs SC Freiburg,82,18444,1946,4-4-2,4-1-3-2,15406
118,18156789,SC Freiburg vs FSV Mainz 05,82,18444,2088,3-4-2-1,4-4-1-1,16778
119,18156798,FC Augsburg vs SC Freiburg,82,18444,2165,4-2-3-1,4-4-2,228
121,18156596,Borussia Dortmund vs Eintracht Frankfurt,82,18444,2166,3-4-2-1,4-2-3-1,17233
123,18156614,Borussia Dortmund vs TSG Hoffenheim,82,18444,2166,4-2-3-1,4-3-1-2,15400
126,18156644,Borussia Mönchengladbach vs Borussia Dortmund,82,18444,180,3-5-2,3-4-2-1,16778
127,18156651,Borussia Dortmund vs FC Augsburg,82,18444,2166,3-4-1-2,4-2-3-1,25431
128,18156658,Borussia Dortmund vs FSV Mainz 05,82,18444,2166,3-4-1-2,4-3-3,15730
129,18156673,DSC Arminia Bielefeld vs Borussia Dortmund,82,18444,1719,3-4-2-1,3-4-1-2,11687
130,18156676,Borussia Dortmund vs FC Köln,82,18444,2166,4-1-3-2,3-4-2-1,15399
