,fixture_id,name,league_id,season_id,venue_id,formation_away,formation_home,referee
0,17082856,Inter vs Fiorentina,384,17488,1721,3-5-2,3-4-1-2,15794
1,17082843,Benevento vs Inter,384,17488,106,3-4-1-2,4-3-3,14049
2,17082868,Lazio vs Inter,384,17488,338840,3-4-1-2,3-5-2,14343
3,17082875,Inter vs Milan,384,17488,1721,4-2-3-1,3-1-4-2,"[{'id': 2659113, 'fixture_id': 17082875, 'referee_id': 15305, 'type_id': 7}]"
4,17082887,Genoa vs Inter,384,17488,142,3-4-1-2,3-5-2,17929
5,17082895,Inter vs Parma,384,17488,1721,5-3-2,3-4-1-2,14049
6,17082903,Atalanta vs Inter,384,17488,193,3-5-2,3-4-2-1,14345
7,17082915,Inter vs Torino,384,17488,1721,3-5-2,3-5-2,14084
8,17082935,Sassuolo vs Inter,384,17488,1613,3-5-2,4-2-3-1,17862
9,17082939,Inter vs Bologna,384,17488,1721,3-4-2-1,3-5-2,17362
10,17098114,Cagliari vs Inter,384,17488,160319,3-5-2,4-2-3-1,18340
11,17098125,Inter vs Napoli,384,17488,1721,4-2-3-1,3-5-2,17929
12,17098136,Inter vs Spezia,384,17488,1721,4-3-3,3-5-2,15966
13,17098151,Hellas Verona vs Inter,384,17488,443,3-4-2-1,3-4-2-1,17861
14,17098157,Inter vs Crotone,384,17488,19085,3-5-2,3-5-2,17864
15,17098169,Sampdoria vs Inter,384,17488,142,3-5-2,4-4-2,17362
16,17098178,Roma vs Inter,384,17488,338840,3-5-2,3-4-2-1,15306
17,17669702,Fiorentina vs Inter,390,17529,7223,3-5-2,3-4-2-1,17929
18,17098186,Inter vs Juventus,384,17488,19085,4-4-2,3-5-2,14345
19,17098200,Udinese vs Inter,384,17488,7224,3-5-2,3-5-2,15969
20,17752463,Inter vs Milan,390,17529,19085,4-2-3-1,3-5-2,17362
21,17098202,Inter vs Benevento,384,17488,19085,5-3-2,3-5-2,18340
22,17771100,Inter vs Juventus,390,17529,19085,4-4-2,3-5-2,15794
23,17098215,Fiorentina vs Inter,384,17488,7223,3-5-2,5-3-2,14084
24,17771101,Juventus vs Inter,390,17529,118500,3-5-2,4-4-2,16538
25,17098227,Inter vs Lazio,384,17488,1721,3-5-2,3-5-2,15966
26,17098234,Milan vs Inter,384,17488,19085,3-5-2,4-2-3-1,"[{'id': 3058521, 'fixture_id': 17098234, 'referee_id': 17863, 'type_id': 8}, {'id': 3058518, 'fixture_id': 17098234, 'referee_id': 14343, 'type_id': 9}]"
27,17098246,Inter vs Genoa,384,17488,19085,3-5-2,3-5-2,13970
28,17098254,Parma vs Inter,384,17488,7175,3-5-2,4-3-1-2,18340
29,17098262,Inter vs Atalanta,384,17488,19085,3-4-2-1,3-5-2,16538
30,17098274,Torino vs Inter,384,17488,142,3-5-2,3-5-2,17362
31,17098294,Bologna vs Inter,384,17488,5515,3-5-2,4-2-3-1,17861
32,17098290,Inter vs Sassuolo,384,17488,19085,4-2-3-1,3-5-2,17862
33,17082859,Sampdoria vs Benevento,384,17488,142,4-3-3,4-4-2,20061
