,fixture_id,name,league_id,season_id,venue_id,formation_away,formation_home,referee
0,18219123,Inter vs Genoa,384,18576,19085,3-4-1-2,3-5-1-1,28387
1,18219132,Hellas Verona vs Inter,384,18576,443,3-5-1-1,3-4-2-1,65747
2,18219146,Sampdoria vs Inter,384,18576,142,3-5-2,4-4-2,4553658
3,18219152,Inter vs Bologna,384,18576,19085,4-2-3-1,3-5-2,4553322
4,18219162,Fiorentina vs Inter,384,18576,7223,3-5-2,4-3-3,2626861
5,18219171,Inter vs Atalanta,384,18576,19085,3-4-1-2,3-5-2,4553496
6,18219187,Sassuolo vs Inter,384,18576,1613,3-5-2,4-2-3-1,2626830
7,18219193,Lazio vs Inter,384,18576,338840,3-5-1-1,4-3-3,2626797
8,18219203,Inter vs Juventus,384,18576,19085,4-4-2,3-5-2,4553232
9,18219210,Empoli vs Inter,384,18576,7220,3-5-2,4-3-1-2,4553258
10,18219224,Inter vs Udinese,384,18576,19085,3-4-2-1,3-5-2,1427502
11,18219233,Milan vs Inter,384,18576,19085,3-5-2,4-2-3-1,4663570
12,18219244,Inter vs Napoli,384,18576,19085,4-2-3-1,3-5-2,2888936
13,18219258,Venezia vs Inter,384,18576,19196,3-5-2,4-3-2-1,2626704
14,18219264,Inter vs Spezia,384,18576,19085,5-3-2,3-5-2,3981141
15,18219275,Roma vs Inter,384,18576,338840,3-5-2,3-1-4-2,2626675
16,18219282,Inter vs Cagliari,384,18576,19085,3-5-2,3-5-2,3041283
17,18219295,Salernitana vs Inter,384,18576,5026,3-5-2,5-3-2,5154199
18,18219302,Inter vs Torino,384,18576,19085,3-4-2-1,3-5-2,3041263
19,18219323,Inter vs Lazio,384,18576,19085,4-3-3,3-5-2,2626612
20,18219329,Atalanta vs Inter,384,18576,193,3-5-2,4-3-3,2888889
21,18452139,Inter vs Empoli,390,18608,19085,4-3-1-2,3-5-2,915188
22,18219343,Inter vs Venezia,384,18576,19085,5-3-2,3-5-2,3041235
23,18220093,Inter vs Milan,384,18576,19085,4-2-3-1,3-5-2,3041226
24,18465565,Inter vs Roma,390,18608,19085,3-4-1-2,3-5-2,2617785
25,18220106,Napoli vs Inter,384,18576,134,3-5-2,4-2-3-1,4553135
26,18220113,Inter vs Sassuolo,384,18576,19085,4-2-3-1,3-5-2,3041172
27,18220122,Genoa vs Inter,384,18576,142,3-5-2,4-2-3-1,4673669
28,18493353,Milan vs Inter,390,18608,19085,3-5-2,4-2-3-1,5149663
29,18220134,Inter vs Salernitana,384,18576,19085,4-4-2,3-5-2,2626505
30,18219121,Empoli vs Lazio,384,18576,7220,4-3-3,4-3-1-2,73594
31,18219133,Juventus vs Empoli,384,18576,118500,4-3-1-2,4-3-1-2,3525568
32,18219142,Empoli vs Venezia,384,18576,7220,4-3-3,4-1-3-2,3525619
33,18219149,Empoli vs Sampdoria,384,18576,7220,4-4-2,4-3-1-2,4553273
34,18219161,Cagliari vs Empoli,384,18576,160319,4-3-1-2,3-5-2,2626865
35,18219169,Empoli vs Bologna,384,18576,7220,4-2-3-1,4-3-1-2,2112091
36,18219184,Roma vs Empoli,384,18576,338840,4-3-1-2,4-2-3-1,4593386
37,18219190,Empoli vs Atalanta,384,18576,7220,3-4-1-2,4-3-3,873629
38,18219205,Salernitana vs Empoli,384,18576,5026,4-3-1-2,3-4-1-2,4553242
40,18219227,Sassuolo vs Empoli,384,18576,1613,4-3-1-2,4-3-3,4601697
41,18219230,Empoli vs Genoa,384,18576,7220,3-4-1-2,4-3-1-2,2626747
42,18219243,Hellas Verona vs Empoli,384,18576,443,4-3-1-2,3-4-2-1,2487524
43,18219250,Empoli vs Fiorentina,384,18576,7220,4-3-3,4-3-1-2,1427522
44,18219268,Torino vs Empoli,384,18576,142,4-3-1-2,3-4-2-1,3041296
45,18219271,Empoli vs Udinese,384,18576,7220,4-4-2,4-3-1-2,2888919
46,18219283,Napoli vs Empoli,384,18576,134,4-3-1-2,4-2-3-1,2626670
47,18364229,Hellas Verona vs Empoli,390,18608,443,4-3-1-2,3-4-2-1,4548763
48,18219297,Spezia vs Empoli,384,18576,7305,4-3-1-2,3-5-2,2425897
49,18219299,Empoli vs Milan,384,18576,7220,4-2-3-1,4-3-1-2,2626652
50,18219313,Lazio vs Empoli,384,18576,338840,4-3-1-2,4-3-3,4553207
51,18219320,Empoli vs Sassuolo,384,18576,7220,4-2-3-1,4-3-1-2,2910256
52,18219338,Venezia vs Empoli,384,18576,19196,4-3-2-1,4-3-2-1,1427596
54,18219340,Empoli vs Roma,384,18576,7220,3-5-2,4-3-2-1,2626586
55,18220091,Bologna vs Empoli,384,18576,5515,4-3-2-1,3-5-2,2491851
56,18220101,Empoli vs Cagliari,384,18576,7220,3-5-2,4-3-1-2,4553360
57,18220117,Sampdoria vs Empoli,384,18576,142,4-3-1-2,4-3-1-2,4141365
58,18220121,Empoli vs Juventus,384,18576,7220,4-4-2,4-3-2-1,4553166
59,18220133,Genoa vs Empoli,384,18576,142,4-3-2-1,4-2-3-1,2423514
60,18219126,Sampdoria vs Milan,384,18576,142,4-2-3-1,4-4-2,3041409
61,18219137,Sassuolo vs Sampdoria,384,18576,1613,4-2-3-1,4-2-3-1,2190697
64,18219166,Sampdoria vs Napoli,384,18576,142,4-3-3,4-4-2,2888990
65,18219172,Juventus vs Sampdoria,384,18576,118500,4-4-2,4-4-2,4553255
66,18219186,Sampdoria vs Udinese,384,18576,142,3-5-2,4-4-2,4553632
67,18219189,Cagliari vs Sampdoria,384,18576,160319,4-4-1-1,4-4-2,3041357
68,18219206,Sampdoria vs Spezia,384,18576,142,4-2-3-1,4-4-2,2626768
69,18219215,Sampdoria vs Atalanta,384,18576,142,3-4-2-1,4-3-3,3041341
70,18219228,Torino vs Sampdoria,384,18576,142,3-1-4-2,3-4-2-1,3041326
71,18219235,Sampdoria vs Bologna,384,18576,142,3-4-2-1,4-4-2,885410
72,18219246,Salernitana vs Sampdoria,384,18576,5026,4-4-2,4-3-1-2,1427520
73,18219255,Sampdoria vs Hellas Verona,384,18576,142,3-4-2-1,4-4-2,895540
74,18219261,Fiorentina vs Sampdoria,384,18576,7223,4-4-2,4-3-3,4677870
75,18219276,Sampdoria vs Lazio,384,18576,142,4-3-3,4-4-2,2626691
76,18219280,Genoa vs Sampdoria,384,18576,142,4-4-2,3-5-2,4553943
77,18364948,Sampdoria vs Torino,390,18608,142,3-4-3,4-4-1-1,3039779
78,18219296,Sampdoria vs Venezia,384,18576,142,4-3-3,4-3-1-2,2626637
79,18219305,Roma vs Sampdoria,384,18576,338840,4-4-2,3-1-4-2,1427574
80,18219316,Sampdoria vs Cagliari,384,18576,142,3-5-2,4-4-2,4677358
81,18219324,Napoli vs Sampdoria,384,18576,134,4-4-2,4-2-3-1,2626636
82,18219336,Sampdoria vs Torino,384,18576,142,3-4-2-1,4-2-3-1,4553189
83,18452132,Juventus vs Sampdoria,390,18608,118500,3-5-2,4-4-2,3038440
84,18219347,Spezia vs Sampdoria,384,18576,7305,4-3-1-2,4-1-4-1,915679
85,18220097,Sampdoria vs Sassuolo,384,18576,142,4-2-3-1,4-3-1-2,4553223
86,18220105,Milan vs Sampdoria,384,18576,19085,4-3-2-1,4-2-3-1,4553220
88,18220120,Atalanta vs Sampdoria,384,18576,193,3-4-1-2,3-4-2-1,932712
89,18220138,Udinese vs Sampdoria,384,18576,7224,4-3-1-2,3-5-2,2626501
90,18219122,Hellas Verona vs Sassuolo,384,18576,443,4-2-3-1,3-4-2-1,2889022
92,18219140,Bologna vs Hellas Verona,384,18576,5515,3-4-2-1,4-2-3-1,2889007
93,18219151,Hellas Verona vs Roma,384,18576,443,4-2-3-1,3-4-2-1,4553306
94,18219165,Salernitana vs Hellas Verona,384,18576,5026,3-4-2-1,3-4-1-2,2626839
95,18219170,Genoa vs Hellas Verona,384,18576,142,3-4-3,4-2-3-1,4553311
96,18219183,Hellas Verona vs Spezia,384,18576,443,4-2-3-1,3-4-3,5154204
97,18219194,Milan vs Hellas Verona,384,18576,19085,3-4-2-1,4-2-3-1,3041350
98,18219202,Hellas Verona vs Lazio,384,18576,443,4-3-3,3-4-2-1,3041361
99,18219217,Udinese vs Hellas Verona,384,18576,7224,3-4-2-1,3-4-2-1,3041340
100,18219223,Hellas Verona vs Juventus,384,18576,443,4-4-2,3-4-2-1,2626737
101,18219234,Napoli vs Hellas Verona,384,18576,134,3-4-2-1,4-2-3-1,4553300
104,18219263,Hellas Verona vs Cagliari,384,18576,443,3-5-2,3-4-2-1,2888929
105,18219278,Venezia vs Hellas Verona,384,18576,19196,3-4-1-2,4-3-3,3041277
106,18219281,Hellas Verona vs Atalanta,384,18576,443,3-4-3,3-4-1-2,1427560
108,18219298,Torino vs Hellas Verona,384,18576,142,3-4-2-1,3-4-2-1,2626656
109,18219301,Hellas Verona vs Fiorentina,384,18576,443,4-3-3,3-4-2-1,4597869
110,18219318,Spezia vs Hellas Verona,384,18576,7305,3-4-2-1,4-1-4-1,4553580
111,18219322,Hellas Verona vs Salernitana,384,18576,443,5-3-2,3-4-2-1,4553378
112,18219337,Sassuolo vs Hellas Verona,384,18576,1613,3-4-2-1,4-2-3-1,3041242
113,18219342,Hellas Verona vs Bologna,384,18576,443,5-3-2,3-4-2-1,2491167
114,18220094,Juventus vs Hellas Verona,384,18576,118500,3-4-2-1,4-3-3,5154187
115,18220103,Hellas Verona vs Udinese,384,18576,443,3-5-2,3-4-2-1,3041207
116,18220115,Roma vs Hellas Verona,384,18576,338840,3-4-2-1,4-2-3-1,2626559
117,18220123,Hellas Verona vs Venezia,384,18576,443,3-4-1-2,3-4-2-1,932715
118,18220132,Fiorentina vs Hellas Verona,384,18576,7223,3-4-1-2,4-3-3,999250
119,18219128,Udinese vs Juventus,384,18576,7224,4-4-2,3-5-1-1,2889017
121,18219144,Napoli vs Juventus,384,18576,134,4-3-3,4-3-3,2626922
122,18219153,Juventus vs Milan,384,18576,118500,4-2-3-1,4-4-2,4654425
