,fixture_id,name,league_id,season_id,venue_id,formation_away,formation_home,referee
0,18867313,Inter vs Monza,384,21818,1721,3-5-2,3-5-2,3015260
1,18867326,Monza vs Empoli,384,21818,787,4-2-3-1,3-4-2-1,2981219
2,18867329,Atalanta vs Monza,384,21818,193,3-4-2-1,3-4-1-2,2988528
3,18867346,Monza vs Lecce,384,21818,787,4-3-3,3-4-1-2,2999101
4,18867352,Lazio vs Monza,384,21818,7189,3-4-2-1,4-3-3,3007006
5,18867367,Monza vs Bologna,384,21818,787,4-2-3-1,3-4-3,3210145
6,18867376,Sassuolo vs Monza,384,21818,1613,3-4-3,4-3-3,4488464
7,18867387,Monza vs Salernitana,384,21818,787,3-4-2-1,3-4-2-1,4488489
8,18867394,Roma vs Monza,384,21818,7189,3-4-2-1,3-5-2,4488457
9,18867406,Monza vs Udinese,384,21818,787,3-5-2,3-4-2-1,3272054
10,18867414,Hellas Verona vs Monza,384,21818,443,3-4-2-1,3-5-2,4488449
11,18867425,Monza vs Torino,384,21818,787,3-5-2,3-4-2-1,4488419
12,18867431,Cagliari vs Monza,384,21818,160319,3-4-2-1,3-5-2,3300293
13,18867444,Monza vs Juventus,384,21818,787,3-5-2,3-5-2,3306837
14,18867456,Monza vs Genoa,384,21818,787,3-5-2,3-4-2-1,4494696
15,18867465,Milan vs Monza,384,21818,19085,3-4-2-1,4-3-3,3319952
16,18867474,Monza vs Fiorentina,384,21818,787,4-2-3-1,3-4-2-1,3325000
17,18867487,Napoli vs Monza,384,21818,134,3-4-2-1,4-3-3,3327520
18,18867491,Frosinone vs Monza,384,21818,145449,3-4-2-1,3-4-3,3328770
19,18867567,Monza vs Inter,384,21818,787,3-5-2,3-4-2-1,3331432
20,18867500,Empoli vs Monza,384,21818,7220,3-4-2-1,3-5-2,4488377
21,18867577,Monza vs Sassuolo,384,21818,787,4-2-3-1,3-4-2-1,4220159
22,18867518,Udinese vs Monza,384,21818,7224,3-4-2-1,3-5-1-1,4224525
23,18867525,Monza vs Hellas Verona,384,21818,787,4-2-3-1,3-4-2-1,4228954
24,18867585,Monza vs Milan,384,21818,787,4-2-3-1,3-4-2-1,4345371
25,18867537,Salernitana vs Monza,384,21818,5026,4-2-3-1,3-4-2-1,4357125
26,18867545,Monza vs Roma,384,21818,787,4-3-3,4-2-3-1,4364483
27,18867316,Sassuolo vs Atalanta,384,21818,1613,3-4-1-2,4-2-3-1,2977649
28,18867321,Frosinone vs Atalanta,384,21818,145449,3-5-2,4-3-1-2,2981217
30,18867340,Fiorentina vs Atalanta,384,21818,7223,3-4-1-2,4-2-3-1,2999085
31,18867349,Atalanta vs Cagliari,384,21818,193,3-5-2,3-4-1-2,4488494
32,18867363,Hellas Verona vs Atalanta,384,21818,443,3-4-2-1,3-4-2-1,3028647
33,18867369,Atalanta vs Juventus,384,21818,193,3-5-2,3-4-1-2,4488474
34,18867385,Lazio vs Atalanta,384,21818,7189,3-4-1-2,4-3-3,4488453
35,18867389,Atalanta vs Genoa,384,21818,193,3-5-2,3-4-2-1,3264330
36,18867400,Empoli vs Atalanta,384,21818,7220,3-4-1-2,4-3-3,4488451
37,18867409,Atalanta vs Inter,384,21818,193,3-5-2,3-4-1-2,3282790
38,18867428,Udinese vs Atalanta,384,21818,7224,3-4-2-1,3-5-2,3289090
39,18867429,Atalanta vs Napoli,384,21818,193,4-3-3,3-4-1-2,4488430
40,18867447,Torino vs Atalanta,384,21818,142,3-4-2-1,3-5-2,3306829
41,18867449,Atalanta vs Milan,384,21818,193,4-3-3,3-4-1-2,3313795
42,18867459,Atalanta vs Salernitana,384,21818,193,4-3-3,3-4-1-2,4488403
43,18867469,Bologna vs Atalanta,384,21818,5515,3-4-1-2,4-2-3-1,3326315
44,18867479,Atalanta vs Lecce,384,21818,193,4-3-3,3-4-1-2,3327512
45,18943906,Atalanta vs Sassuolo,390,22291,193,4-2-3-1,3-4-1-2,3328183
46,18867494,Roma vs Atalanta,384,21818,7189,3-4-1-2,3-5-2,3328774
47,19029165,Milan vs Atalanta,390,22291,1721,3-4-1-2,4-2-3-1,3330259
48,18867559,Atalanta vs Frosinone,384,21818,193,4-3-3,3-4-2-1,3331398
49,18867569,Atalanta vs Udinese,384,21818,193,3-5-1-1,3-4-2-1,4220134
50,18867509,Atalanta vs Lazio,384,21818,193,4-3-3,3-4-1-2,4224494
51,18867522,Genoa vs Atalanta,384,21818,86,3-4-2-1,3-5-2,4228947
52,18867579,Atalanta vs Sassuolo,384,21818,193,4-2-3-1,3-4-1-2,4345360
53,18867535,Milan vs Atalanta,384,21818,102653,3-4-1-2,4-2-3-1,4488358
54,18867502,Inter vs Atalanta,384,21818,1721,3-4-1-2,3-5-2,4362121
55,18867539,Atalanta vs Bologna,384,21818,193,4-3-3,3-4-1-2,4364451
56,18867318,Udinese vs Juventus,384,21818,7224,3-5-2,3-5-2,3356680
57,18867328,Salernitana vs Udinese,384,21818,5026,3-5-2,3-4-2-1,2981196
58,18867338,Udinese vs Frosinone,384,21818,7224,4-2-3-1,3-5-2,2988534
59,18867339,Cagliari vs Udinese,384,21818,160319,3-5-2,3-5-2,4488526
60,18867358,Udinese vs Fiorentina,384,21818,7224,4-2-3-1,3-5-2,4488485
61,18867368,Napoli vs Udinese,384,21818,134,3-5-2,4-3-3,3029588
62,18867378,Udinese vs Genoa,384,21818,7224,3-5-2,3-5-2,4488455
63,18867380,Empoli vs Udinese,384,21818,7220,3-5-2,4-3-2-1,3222502
64,18867398,Udinese vs Lecce,384,21818,7224,4-3-3,3-5-2,3264173
66,18943915,Udinese vs Cagliari,390,22291,7224,4-3-1-2,3-5-2,3278423
67,18867415,Milan vs Udinese,384,21818,102653,3-5-2,4-4-2,3282243
69,18867437,Roma vs Udinese,384,21818,7189,3-5-2,3-5-2,4488429
70,18867448,Udinese vs Hellas Verona,384,21818,7224,4-2-3-1,3-5-1-1,4488421
71,18867454,Inter vs Udinese,384,21818,1721,3-5-1-1,3-5-2,3313800
72,18867468,Udinese vs Sassuolo,384,21818,7224,4-2-3-1,3-5-1-1,3319970
73,18867478,Torino vs Udinese,384,21818,142,3-5-1-1,3-4-1-2,3325008
74,18867488,Udinese vs Bologna,384,21818,7224,4-2-3-1,3-5-1-1,4488388
75,18867498,Udinese vs Lazio,384,21818,7224,4-3-3,3-5-1-1,3328795
76,18867561,Fiorentina vs Udinese,384,21818,7223,3-5-1-1,4-2-3-1,3331409
77,18867508,Udinese vs Milan,384,21818,7224,4-2-3-1,3-5-2,4488374
80,18867523,Juventus vs Udinese,384,21818,118500,3-5-1-1,3-5-2,4228830
81,18867588,Udinese vs Cagliari,384,21818,7224,3-4-2-1,3-5-1-1,4488355
82,18867532,Genoa vs Udinese,384,21818,86,3-5-1-1,3-5-2,4357114
83,18867548,Udinese vs Salernitana,384,21818,7224,4-3-1-2,3-5-1-1,4364475
84,18867315,Roma vs Salernitana,384,21818,7189,3-4-2-1,3-5-2,4488522
86,18867333,Lecce vs Salernitana,384,21818,5047,3-4-2-1,4-3-3,4488505
87,18867348,Salernitana vs Torino,384,21818,5026,3-4-2-1,3-4-2-1,4488483
88,18867355,Salernitana vs Frosinone,384,21818,5026,4-3-3,3-4-2-1,3013080
89,18867360,Empoli vs Salernitana,384,21818,7220,3-4-2-1,4-3-1-2,3341134
90,18867375,Salernitana vs Inter,384,21818,5026,3-5-2,3-4-2-1,3214970
92,18867395,Salernitana vs Cagliari,384,21818,5026,4-3-1-2,4-3-2-1,4488534
93,18867401,Genoa vs Salernitana,384,21818,86,3-4-2-1,3-5-2,3272032
94,18943918,Salernitana vs Sampdoria,390,22291,5026,4-3-1-2,4-3-2-1,3277965
95,18867417,Salernitana vs Napoli,384,21818,5026,4-3-3,4-2-3-1,3338163
96,18867427,Sassuolo vs Salernitana,384,21818,1613,4-3-2-1,4-2-3-1,3337881
97,18867438,Salernitana vs Lazio,384,21818,5026,4-3-3,3-4-2-1,3300317
98,18867439,Fiorentina vs Salernitana,384,21818,7223,3-4-2-1,4-2-3-1,3306813
99,18867458,Salernitana vs Bologna,384,21818,5026,4-2-3-1,3-4-2-1,3313819
101,18867476,Salernitana vs Milan,384,21818,5026,4-2-3-1,4-2-3-1,4488410
102,18867483,Hellas Verona vs Salernitana,384,21818,443,4-2-3-1,4-2-3-1,4488393
103,18943910,Juventus vs Salernitana,390,22291,118500,4-2-3-1,3-5-2,3328983
104,18867495,Salernitana vs Juventus,384,21818,5026,3-5-2,3-5-2,3328791
105,18867568,Napoli vs Salernitana,384,21818,134,3-5-2,4-3-3,3331436
106,18867505,Salernitana vs Genoa,384,21818,5026,3-5-2,4-3-2-1,4488380
107,18867578,Salernitana vs Roma,384,21818,5026,4-3-2-1,4-3-2-1,4220152
108,18867517,Torino vs Salernitana,384,21818,142,3-4-2-1,3-4-1-2,4488352
109,18867527,Salernitana vs Empoli,384,21818,5026,3-4-2-1,3-4-2-1,4492746
110,18867583,Inter vs Salernitana,384,21818,1721,3-4-2-1,3-5-2,4345370
113,18867309,Bologna vs Milan,384,21818,5515,4-3-3,4-2-3-1,2968980
114,18867325,Milan vs Torino,384,21818,19085,3-4-2-1,4-3-3,4488530
115,18867335,Roma vs Milan,384,21818,7189,4-3-3,3-5-2,3358013
