,fixture_id,name,league_id,season_id,venue_id,formation_away,formation_home,referee
0,2020193,Wolfsburg vs Borussia Dortmund,82,8026,80,4-3-3,4-2-3-1,4072356
1,2020198,Eintracht Frankfurt vs Wolfsburg,82,8026,2169,3-4-2-1,3-1-4-2,2528943
2,2020211,Wolfsburg vs Hannover 96,82,8026,80,4-3-3,3-4-1-2,4928184
3,2020220,Stuttgart vs Wolfsburg,82,8026,1945,3-4-1-2,3-4-2-1,90882
4,2020229,Wolfsburg vs Werder Bremen,82,8026,80,3-1-4-2,4-2-3-1,4713386
5,2020230,Bayern München vs Wolfsburg,82,8026,53,4-1-4-1,4-2-3-1,2448558
6,2020247,Wolfsburg vs Mainz 05,82,8026,80,4-3-3,4-2-3-1,3814671
7,2020253,Bayer Leverkusen vs Wolfsburg,82,8026,1947,4-3-3,4-2-3-1,4855151
8,2020265,Wolfsburg vs Hoffenheim,82,8026,80,4-1-4-1,4-2-3-1,4663302
9,2020270,Schalke 04 vs Wolfsburg,82,8026,2138,4-4-1-1,3-1-4-2,54429
10,2020283,Wolfsburg vs Hertha BSC,82,8026,80,4-2-3-1,4-2-3-1,3108241
11,2020291,Wolfsburg vs Freiburg,82,8026,80,4-3-3,4-2-3-1,55877
12,2020299,Augsburg vs Wolfsburg,82,8026,2165,4-2-3-1,4-2-3-1,2405004
13,2020310,Wolfsburg vs Borussia M'gladbach,82,8026,80,4-4-2,4-2-3-1,2529003
14,2020317,Hamburger SV vs Wolfsburg,82,8026,1610,4-2-3-1,4-2-3-1,2448562
15,2020328,Wolfsburg vs RB Leipzig,82,8026,80,4-2-2-2,4-2-3-1,90887
16,2020331,Köln vs Wolfsburg,82,8026,1946,4-2-3-1,4-4-2,3814697
17,2020338,Borussia Dortmund vs Wolfsburg,82,8026,2166,4-2-3-1,4-3-3,2404972
18,2020355,Wolfsburg vs Eintracht Frankfurt,82,8026,80,3-1-4-2,4-4-2,54433
19,2020363,Hannover 96 vs Wolfsburg,82,8026,1531,4-2-3-1,3-1-4-2,5356794
20,2020373,Wolfsburg vs Stuttgart,82,8026,80,4-2-3-1,4-2-3-1,4071923
21,2020378,Werder Bremen vs Wolfsburg,82,8026,2172,4-2-3-1,4-1-4-1,3108139
22,2020391,Wolfsburg vs Bayern München,82,8026,80,4-3-3,4-1-4-1,4928145
23,2020398,Mainz 05 vs Wolfsburg,82,8026,2103,4-2-3-1,3-1-4-2,1733995
24,2020409,Wolfsburg vs Bayer Leverkusen,82,8026,80,4-2-3-1,4-2-3-1,4928140
25,2020185,Bayern München vs Bayer Leverkusen,82,8026,53,4-2-3-1,4-3-3,2405023
26,2020199,Bayer Leverkusen vs Hoffenheim,82,8026,1947,4-3-3,3-4-2-1,3108347
