,fixture_id,name,league_id,season_id,venue_id,formation_away,formation_home,referee
0,95581,Bayern München vs Wolfsburg,82,217,53,4-2-3-1,3-4-3,5001654
1,95683,Wolfsburg vs Eintracht Frankfurt,82,217,80,4-2-3-1,4-2-3-1,198734
2,95775,Hoffenheim vs Wolfsburg,82,217,232157,4-2-3-1,4-3-1-2,198337
3,96593,Wolfsburg vs Bayer Leverkusen,82,217,80,4-2-3-1,4-2-3-1,3194117
4,96839,Hertha BSC vs Wolfsburg,82,217,1944,4-2-3-1,4-2-3-1,5001502
5,96940,Wolfsburg vs Werder Bremen,82,217,80,4-4-2,4-2-3-1,197996
6,97032,Wolfsburg vs Augsburg,82,217,80,4-2-3-1,4-2-3-1,54376
7,97079,Freiburg vs Wolfsburg,82,217,2142,4-2-3-1,4-4-2,2448300
8,97199,Wolfsburg vs Mainz 05,82,217,80,3-4-3,4-2-3-1,90828
9,97245,Stuttgart vs Wolfsburg,82,217,1945,4-2-3-1,4-2-3-1,1582765
10,97363,Wolfsburg vs Hamburger SV,82,217,80,4-1-4-1,4-2-3-1,198177
11,97391,Schalke 04 vs Wolfsburg,82,217,2138,4-2-3-1,4-2-3-1,3886034
12,97532,Wolfsburg vs Borussia M'gladbach,82,217,80,4-4-2,4-2-3-1,198373
14,97570,Hannover 96 vs Wolfsburg,82,217,1531,4-2-3-1,4-4-1-1,54389
15,97714,Wolfsburg vs Paderborn,82,217,80,5-4-1,4-2-3-1,55811
16,97759,Borussia Dortmund vs Wolfsburg,82,217,2166,4-2-3-1,4-1-4-1,141017
17,97863,Wolfsburg vs Köln,82,217,80,4-1-4-1,4-2-3-1,199065
18,97892,Wolfsburg vs Bayern München,82,217,80,4-5-1,4-2-3-1,141020
19,98004,Eintracht Frankfurt vs Wolfsburg,82,217,2169,4-2-3-1,4-4-2,198781
20,98070,Wolfsburg vs Hoffenheim,82,217,80,4-2-3-1,4-2-3-1,199504
