,fixture_id,name,league_id,season_id,venue_id,formation_away,formation_home,referee
0,4772141,Crotone vs Milan,384,8557,7339,4-3-3,4-4-2,16538
1,4772146,Crotone vs Hellas Verona,384,8557,7339,4-3-3,4-4-2,14343
2,4772155,Cagliari vs Crotone,384,8557,160319,4-4-2,4-3-1-2,14345
3,4772163,Crotone vs Inter,384,8557,7339,4-2-3-1,4-4-2,15797
4,4772172,Atalanta vs Crotone,384,8557,193,3-4-2-1,3-4-2-1,14049
5,4772183,Crotone vs Benevento,384,8557,7339,4-4-1-1,4-4-2,16780
6,4772199,SPAL vs Crotone,384,8557,7316,4-4-2,3-5-2,15791
7,4772204,Crotone vs Torino,384,8557,7339,4-2-3-1,4-4-2,17362
8,4772218,Sampdoria vs Crotone,384,8557,142,4-5-1,4-3-1-2,15794
9,4772230,Roma vs Crotone,384,8557,338840,4-4-2,4-3-3,15799
10,4772233,Crotone vs Fiorentina,384,8557,7339,4-3-3,4-4-2,15969
11,4772243,Bologna vs Crotone,384,8557,5515,4-4-2,4-3-3,18340
12,4772253,Crotone vs Genoa,384,8557,7339,3-4-2-1,4-4-2,15721
13,4772267,Juventus vs Crotone,384,8557,118500,3-5-2,3-4-2-1,17920
14,5688045,Genoa vs Crotone,390,8438,142,4-4-2,3-5-2,15799
15,4772274,Crotone vs Udinese,384,8557,7339,3-5-2,4-4-1-1,17929
16,4772289,Sassuolo vs Crotone,384,8557,1613,4-5-1,4-3-3,15799
17,4772295,Crotone vs Chievo,384,8557,7339,4-3-1-2,4-3-3,17312
18,4772306,Lazio vs Crotone,384,8557,338840,4-3-3,3-4-2-1,15794
19,4772315,Crotone vs Napoli,384,8557,7339,4-3-3,4-3-3,16538
20,4772324,Milan vs Crotone,384,8557,1721,4-3-3,4-3-3,15969
21,4772334,Hellas Verona vs Crotone,384,8557,443,4-3-3,4-3-3,15289
22,4772345,Crotone vs Cagliari,384,8557,7339,3-5-2,4-3-3,15721
23,4772353,Inter vs Crotone,384,8557,1721,4-3-3,4-3-3,16780
24,4772362,Crotone vs Atalanta,384,8557,7339,3-4-1-2,4-3-3,17929
25,4772373,Benevento vs Crotone,384,8557,106,4-3-3,4-2-3-1,15289
26,4772389,Crotone vs SPAL,384,8557,7339,3-5-2,4-3-3,16780
27,4772140,Atalanta vs Roma,384,8557,193,4-3-3,3-4-1-2,17861
28,4772149,Napoli vs Atalanta,384,8557,134,3-4-3,4-3-3,15306
29,4772152,Atalanta vs Sassuolo,384,8557,193,3-1-4-2,3-4-1-2,15799
30,4772162,Chievo vs Atalanta,384,8557,443,3-4-2-1,4-3-1-2,16538
32,4772184,Fiorentina vs Atalanta,384,8557,7223,3-4-2-1,4-2-3-1,17312
33,4772192,Atalanta vs Juventus,384,8557,193,4-2-3-1,3-4-2-1,15292
34,4772210,Sampdoria vs Atalanta,384,8557,142,3-4-1-2,4-3-1-2,16538
35,4772212,Atalanta vs Bologna,384,8557,193,4-3-3,3-5-2,15969
36,4772222,Atalanta vs Hellas Verona,384,8557,193,4-4-2,3-4-2-1,13644
37,4772241,Udinese vs Atalanta,384,8557,7224,3-4-2-1,4-3-3,15289
38,4772242,Atalanta vs SPAL,384,8557,193,3-5-2,3-4-2-1,13970
39,4772255,Inter vs Atalanta,384,8557,1721,3-4-2-1,4-2-3-1,15966
40,4772262,Atalanta vs Benevento,384,8557,193,4-3-3,3-4-2-1,18340
42,4772281,Torino vs Atalanta,384,8557,118500,3-4-2-1,4-3-3,15721
43,4772284,Genoa vs Atalanta,384,8557,142,3-4-1-2,3-5-2,14345
44,4772292,Atalanta vs Lazio,384,8557,193,3-5-1-1,3-4-2-1,17862
45,8610074,Atalanta vs Sassuolo,390,8438,193,4-3-3,3-4-2-1,13669
46,4772307,Milan vs Atalanta,384,8557,1721,3-4-1-2,4-3-3,15966
47,4772312,Atalanta vs Cagliari,384,8557,193,3-5-1-1,3-4-2-1,18340
48,8930439,Napoli vs Atalanta,390,8438,134,3-4-1-2,4-3-3,17861
49,4772322,Roma vs Atalanta,384,8557,338840,3-4-2-1,4-3-3,14343
50,4772338,Atalanta vs Napoli,384,8557,193,4-3-3,3-4-1-2,16780
51,4772342,Sassuolo vs Atalanta,384,8557,1613,3-4-1-2,4-3-3,17362
52,9055532,Atalanta vs Juventus,390,8438,193,4-3-3,3-4-1-2,576
53,4772352,Atalanta vs Chievo,384,8557,193,5-3-2,3-4-1-2,15794
55,4772374,Atalanta vs Fiorentina,384,8557,193,4-3-3,3-4-1-2,15969
56,9055533,Juventus vs Atalanta,390,8438,118500,3-5-2,4-3-3,310
57,4772139,Udinese vs Chievo,384,8557,7224,4-3-1-2,4-4-2,17920
58,4772150,SPAL vs Udinese,384,8557,7316,4-4-2,3-5-2,576
59,4772161,Udinese vs Genoa,384,8557,7224,3-4-3,4-4-2,15969
60,4772166,Milan vs Udinese,384,8557,1721,4-1-4-1,3-1-4-2,14343
61,4772181,Udinese vs Torino,384,8557,7224,4-2-3-1,4-3-3,15289
62,4772188,Roma vs Udinese,384,8557,338840,4-4-2,4-3-3,17929
63,4772201,Udinese vs Sampdoria,384,8557,7224,4-3-1-2,4-3-3,15966
64,4772205,Fiorentina vs Udinese,384,8557,7223,4-1-4-1,4-3-3,17862
65,4772221,Udinese vs Juventus,384,8557,7224,4-2-3-1,4-4-1-1,14345
66,4772231,Sassuolo vs Udinese,384,8557,1613,4-1-4-1,4-3-3,15721
68,4772261,Udinese vs Cagliari,384,8557,7224,3-5-1-1,4-4-2,15799
69,4772271,Udinese vs Napoli,384,8557,7224,4-3-3,3-5-1-1,15306
70,5688048,Udinese vs Perugia,390,8438,7224,NaN,NaN,13685
72,4772291,Udinese vs Benevento,384,8557,7224,3-4-2-1,3-5-1-1,17864
73,4772298,Inter vs Udinese,384,8557,1721,3-5-1-1,4-2-3-1,16538
74,8610078,Napoli vs Udinese,390,8438,134,5-4-1,4-3-3,18340
75,4772311,Udinese vs Hellas Verona,384,8557,7224,4-4-2,3-5-2,15969
76,4772314,Bologna vs Udinese,384,8557,5515,3-5-2,4-3-3,17920
77,4772331,Chievo vs Udinese,384,8557,443,3-5-2,4-3-1-2,13970
78,4772340,Udinese vs SPAL,384,8557,7224,3-5-1-1,3-1-4-2,14345
79,4772250,Lazio vs Udinese,384,8557,338840,3-5-2,3-5-2,15797
80,4772351,Genoa vs Udinese,384,8557,142,3-5-1-1,3-5-2,17312
81,4772356,Udinese vs Milan,384,8557,7224,4-3-3,3-4-2-1,15799
82,4772371,Torino vs Udinese,384,8557,118500,3-5-2,4-3-3,18631
83,4772378,Udinese vs Roma,384,8557,7224,4-2-3-1,3-1-4-2,15306
84,4772391,Sampdoria vs Udinese,384,8557,142,3-1-4-2,4-3-1-2,15292
85,4772136,Lazio vs SPAL,384,8557,338840,3-5-2,3-5-2,18631
87,4772157,Inter vs SPAL,384,8557,1721,3-5-2,4-2-3-1,17920
88,4772170,SPAL vs Cagliari,384,8557,7316,4-3-1-2,3-5-2,14002
89,4772180,Milan vs SPAL,384,8557,1721,3-5-2,3-1-4-2,18631
90,4772191,SPAL vs Napoli,384,8557,7316,4-3-3,3-5-2,16538
92,4772202,Bologna vs SPAL,384,8557,5515,3-5-2,4-3-3,14343
93,4772219,SPAL vs Sassuolo,384,8557,7316,4-3-3,3-5-2,15966
94,4772229,Juventus vs SPAL,384,8557,118500,3-5-2,4-2-3-1,18340
95,4772239,SPAL vs Genoa,384,8557,7316,3-5-2,3-5-2,16780
97,4772259,SPAL vs Fiorentina,384,8557,7316,4-3-3,3-5-2,15794
98,4772265,Chievo vs SPAL,384,8557,443,3-5-2,4-3-1-2,14797
99,5688052,SPAL vs Cittadella,390,8438,7316,4-3-1-2,3-5-2,14005
100,4772279,Roma vs SPAL,384,8557,338840,3-5-2,4-3-3,18631
101,4772290,SPAL vs Hellas Verona,384,8557,7316,4-4-1-1,3-5-2,15289
102,4772293,Benevento vs SPAL,384,8557,106,3-5-2,4-1-4-1,18340
103,4772310,SPAL vs Torino,384,8557,7316,4-3-3,3-5-2,17362
104,4772320,Sampdoria vs SPAL,384,8557,142,3-5-2,4-3-1-2,17312
