,fixture_id,name,league_id,season_id,venue_id,formation_away,formation_home,referee
0,477,Fulham vs Norwich City,8,7,,4-4-2,4-4-2,15273
1,524,Manchester United vs Fulham,8,7,206.0,4-2-3-1,4-2-3-1,15242
2,1069783,Sheffield Wednesday vs Fulham,27,5368,495.0,NaN,NaN,15294
3,562,West Ham United vs Fulham,8,7,4.0,4-3-3,4-3-3,14532
4,613,Fulham vs West Bromwich Albion,8,7,,4-2-3-1,4-4-2,14818
5,679,Wigan Athletic vs Fulham,8,7,14.0,4-4-2,3-4-3,15267
6,722,Fulham vs Manchester City,8,7,,4-2-3-1,4-4-2,69975
7,817,Southampton vs Fulham,8,7,167.0,4-2-3-1,4-3-3,20191
8,850,Fulham vs Aston Villa,8,7,,4-4-2,4-3-3,69959
9,943,Reading vs Fulham,8,7,494.0,4-4-2,4-4-2,15272
10,1022,Fulham vs Everton,8,7,,4-4-2,4-4-2,15271
11,1101,Arsenal vs Fulham,8,7,204.0,4-2-3-1,4-2-3-1,69960
12,1277,Fulham vs Sunderland,8,7,,4-2-3-1,4-2-3-1,15267
13,1325,Stoke City vs Fulham,8,7,207.0,4-5-1,4-5-1,15273
14,1538,Chelsea vs Fulham,8,7,,4-2-3-1,4-3-3,14532
15,1596,Fulham vs Tottenham Hotspur,8,7,,4-2-3-1,4-4-2,69959
16,1763,Fulham vs Newcastle United,8,7,,4-3-3,4-4-2,15270
17,1812,Queens Park Rangers vs Fulham,8,7,491.0,4-4-2,4-3-3,15269
18,1938,Liverpool vs Fulham,8,7,230.0,4-4-1-1,4-3-3,20191
19,1978,Fulham vs Southampton,8,7,,4-3-3,4-4-1-1,69960
20,2172,Fulham vs Swansea City,8,7,,4-2-3-1,4-4-1-1,14533
21,2251,West Bromwich Albion vs Fulham,8,7,119.0,4-4-1-1,4-2-3-1,15241
22,1066157,Fulham vs Blackpool,24,5356,,NaN,NaN,15270
23,2374,Fulham vs Wigan Athletic,8,7,,3-5-2,4-4-2,20191
24,1066078,Blackpool vs Fulham,24,5356,339736.0,NaN,NaN,14533
25,2452,Manchester City vs Fulham,8,7,,4-4-2,4-2-3-1,13533
26,1065969,Manchester United vs Fulham,24,5356,206.0,4-2-3-1,4-2-3-1,20191
27,2631,Fulham vs West Ham United,8,7,,4-4-2,4-2-3-1,69959
28,2717,Fulham vs Manchester United,8,7,,4-4-1-1,4-4-1-1,15242
29,2773,Norwich City vs Fulham,8,7,489.0,4-2-3-1,4-4-1-1,32980
30,2869,Fulham vs Stoke City,8,7,,4-4-2,4-4-2,15267
31,3021,Sunderland vs Fulham,8,7,212.0,4-4-2,4-4-2,69975
32,490,West Bromwich Albion vs Liverpool,8,7,119.0,4-3-3,4-3-3,69960
33,1068504,Liverpool vs Prescot Cables,24,5356,,NaN,NaN,[]
34,549,Liverpool vs Manchester City,8,7,230.0,3-5-2,4-2-3-1,14533
35,588,Liverpool vs Arsenal,8,7,230.0,4-3-3,4-3-3,32980
36,634,Sunderland vs Liverpool,8,7,212.0,4-2-3-1,4-2-3-1,15269
37,685,Liverpool vs Manchester United,8,7,230.0,4-3-3,4-3-3,69975
38,1069646,West Bromwich Albion vs Liverpool,27,5368,119.0,NaN,NaN,15271
39,728,Norwich City vs Liverpool,8,7,489.0,4-3-3,4-4-2,15272
40,823,Liverpool vs Stoke City,8,7,230.0,4-2-3-1,4-3-3,15270
41,858,Liverpool vs Reading,8,7,230.0,4-4-1-1,4-3-3,14818
42,978,Everton vs Liverpool,8,7,12.0,4-5-1,4-4-1-1,14533
43,1069475,Liverpool vs Swansea City,27,5368,230.0,NaN,NaN,15267
44,1083,Liverpool vs Newcastle United,8,7,230.0,4-3-3,4-3-3,14532
45,1186,Chelsea vs Liverpool,8,7,,5-3-2,4-2-3-1,32980
46,1206,Liverpool vs Wigan Athletic,8,7,230.0,4-4-2,4-4-2,15242
47,1377,Swansea City vs Liverpool,8,7,208.0,4-2-3-1,4-2-3-1,13533
48,1529,Tottenham Hotspur vs Liverpool,8,7,209.0,4-4-2,4-4-2,69960
49,1605,Liverpool vs Southampton,8,7,230.0,4-2-3-1,4-3-3,15273
50,1752,West Ham United vs Liverpool,8,7,4.0,4-2-3-1,4-2-3-1,15267
51,1781,Liverpool vs Aston Villa,8,7,230.0,3-5-2,4-3-3,15271
53,2068,Stoke City vs Liverpool,8,7,207.0,4-2-3-1,4-4-2,32980
54,2241,Queens Park Rangers vs Liverpool,8,7,491.0,4-3-3,4-4-1-1,14532
55,2329,Liverpool vs Sunderland,8,7,230.0,4-4-1-1,4-3-3,69960
