,fixture_id,name,league_id,season_id,venue_id,formation_away,formation_home,referee
0,299628,Bologna vs Crotone,384,802,5515,3-4-3,4-3-3,17920
1,299745,Crotone vs Genoa,384,802,598,3-4-3,3-4-3,42256
2,299914,Empoli vs Crotone,384,802,7220,3-5-2,4-3-1-2,17362
3,300000,Crotone vs Palermo,384,802,7339,4-3-3,3-4-3,70099
4,300150,Roma vs Crotone,384,802,7189,4-5-1,4-2-3-1,70098
5,300269,Crotone vs Atalanta,384,802,7339,3-5-2,3-5-2,15289
6,300350,Cagliari vs Crotone,384,802,128,3-4-3,4-3-1-2,17861
7,300495,Sassuolo vs Crotone,384,802,1613,4-3-3,4-3-3,17929
8,300958,Crotone vs Napoli,384,802,7339,4-3-3,4-3-3,15791
9,301028,Fiorentina vs Crotone,384,802,7223,4-4-2,4-2-3-1,17920
10,301119,Crotone vs Chievo,384,802,7339,4-3-1-2,4-3-3,17312
11,301230,Inter vs Crotone,384,802,1721,4-4-2,4-2-3-1,15794
12,301293,Crotone vs Torino,384,802,7339,4-3-3,4-4-2,70099
13,301361,Crotone vs Sampdoria,384,802,7339,4-3-1-2,4-4-2,15969
14,301414,Milan vs Crotone,384,802,1721,4-4-2,4-3-3,15306
15,301474,Crotone vs Pescara,384,802,7339,4-3-2-1,4-4-2,15292
16,301587,Udinese vs Crotone,384,802,7224,4-4-2,4-3-3,14801
17,301678,Lazio vs Crotone,384,802,7189,4-4-2,4-3-3,15969
18,301702,Crotone vs Bologna,384,802,7339,4-3-3,4-4-2,15794
19,301768,Genoa vs Crotone,384,802,142,4-4-2,3-4-3,16538
20,301822,Crotone vs Empoli,384,802,7339,4-3-1-2,4-4-2,15721
21,301888,Palermo vs Crotone,384,802,510,4-4-2,4-3-3,15289
22,301642,Crotone vs Juventus,384,802,7339,4-2-3-1,4-4-1-1,17362
23,301914,Crotone vs Roma,384,802,7339,3-4-2-1,5-4-1,70098
24,301952,Atalanta vs Crotone,384,802,193,3-4-2-1,3-4-1-2,15797
25,301993,Crotone vs Cagliari,384,802,7339,4-4-1-1,4-4-2,16780
26,302025,Crotone vs Sassuolo,384,802,7339,4-3-3,4-4-2,15966
27,299616,Atalanta vs Lazio,384,802,193,4-3-3,3-4-3,15797
28,299769,Sampdoria vs Atalanta,384,802,142,3-5-2,4-3-1-2,14345
29,299855,Atalanta vs Torino,384,802,193,4-3-3,4-3-3,16538
30,299988,Cagliari vs Atalanta,384,802,128,3-5-2,4-3-1-2,15966
31,300082,Atalanta vs Palermo,384,802,193,3-4-2-1,4-2-3-1,13669
33,300326,Atalanta vs Napoli,384,802,193,4-3-3,3-4-1-2,42256
34,300448,Fiorentina vs Atalanta,384,802,7223,3-4-2-1,3-4-1-2,15292
35,300938,Atalanta vs Inter,384,802,193,4-3-3,3-4-2-1,14345
36,301075,Pescara vs Atalanta,384,802,598,3-4-2-1,4-1-4-1,14343
37,301112,Atalanta vs Genoa,384,802,193,3-4-3,3-4-2-1,15966
38,301216,Sassuolo vs Atalanta,384,802,1613,3-4-2-1,3-4-1-2,15969
39,301275,Atalanta vs Roma,384,802,193,4-2-3-1,3-4-2-1,15289
40,301346,Bologna vs Atalanta,384,802,5515,3-4-1-2,4-3-3,16538
41,1087361,Atalanta vs Pescara,390,782,193,4-4-2,4-3-3,14084
42,301407,Juventus vs Atalanta,384,802,118500,3-4-1-2,4-3-1-2,17862
43,301496,Atalanta vs Udinese,384,802,193,4-3-3,3-4-2-1,15969
44,301553,Milan vs Atalanta,384,802,1721,3-4-1-2,4-3-3,17929
45,301602,Atalanta vs Empoli,384,802,193,4-3-1-2,3-4-1-2,15966
46,301668,Chievo vs Atalanta,384,802,443,3-4-1-2,4-3-1-2,14084
47,1087237,Juventus vs Atalanta,390,782,118500,3-4-1-2,4-3-2-1,17861
48,301717,Lazio vs Atalanta,384,802,7189,3-4-2-1,3-4-2-1,17312
49,301793,Atalanta vs Sampdoria,384,802,193,4-3-1-2,3-4-2-1,42256
50,301813,Torino vs Atalanta,384,802,118500,3-4-1-2,4-3-3,15292
51,301863,Atalanta vs Cagliari,384,802,193,4-3-2-1,3-4-2-1,17920
52,301918,Palermo vs Atalanta,384,802,510,3-4-1-2,4-3-3,16780
54,301981,Napoli vs Atalanta,384,802,134,3-4-1-2,4-3-3,70099
55,302015,Atalanta vs Fiorentina,384,802,193,3-4-2-1,3-4-2-1,14343
56,299579,Roma vs Udinese,384,802,7189,3-5-1-1,4-3-3,15306
57,299806,Udinese vs Empoli,384,802,7224,4-3-1-2,4-3-1-2,15969
58,299881,Milan vs Udinese,384,802,1721,4-3-1-2,4-3-2-1,15794
59,299977,Udinese vs Chievo,384,802,7224,4-3-1-2,4-3-1-2,17312
60,300162,Udinese vs Fiorentina,384,802,7224,3-5-1-1,4-3-1-2,15791
61,300247,Sassuolo vs Udinese,384,802,1613,4-3-1-2,4-3-3,14345
62,300303,Udinese vs Lazio,384,802,7224,4-2-3-1,4-3-1-2,70098
63,300436,Juventus vs Udinese,384,802,118500,4-3-1-2,4-4-2,17920
64,300928,Udinese vs Pescara,384,802,7224,4-1-4-1,4-2-3-1,15289
65,301089,Palermo vs Udinese,384,802,510,4-3-3,4-2-3-1,16780
66,301156,Udinese vs Torino,384,802,7224,4-3-3,4-3-3,15721
67,301200,Genoa vs Udinese,384,802,142,4-3-3,3-4-3,15799
68,301253,Udinese vs Napoli,384,802,7224,4-3-3,4-3-3,15797
69,301353,Cagliari vs Udinese,384,802,128,4-3-3,4-3-1-2,17312
70,301466,Udinese vs Bologna,384,802,7224,4-3-3,4-3-3,18340
73,301632,Sampdoria vs Udinese,384,802,142,4-3-3,4-3-1-2,17920
74,301662,Udinese vs Inter,384,802,7224,4-2-3-1,4-3-3,14345
75,301738,Udinese vs Roma,384,802,7224,3-4-2-1,4-3-3,15292
76,301788,Empoli vs Udinese,384,802,7220,4-3-3,4-3-1-2,70098
77,301838,Udinese vs Milan,384,802,7224,4-3-3,4-3-3,15797
78,301883,Chievo vs Udinese,384,802,443,4-3-3,4-3-1-2,17864
79,301907,Fiorentina vs Udinese,384,802,7223,4-3-3,3-4-2-1,16538
80,301973,Udinese vs Sassuolo,384,802,7224,4-3-3,4-3-3,15721
81,302002,Lazio vs Udinese,384,802,7189,4-3-3,4-3-3,17312
82,302021,Udinese vs Juventus,384,802,7224,4-2-3-1,4-4-2,15292
83,299674,Palermo vs Sassuolo,384,802,510,4-3-3,3-4-3,17312
84,299723,Inter vs Palermo,384,802,1721,3-5-2,4-3-3,70098
85,299831,Palermo vs Napoli,384,802,510,4-3-3,4-3-3,17929
88,300174,Palermo vs Juventus,384,802,510,3-5-2,3-4-2-1,17362
89,300362,Sampdoria vs Palermo,384,802,142,3-4-2-1,4-3-1-2,16538
90,300896,Palermo vs Torino,384,802,510,4-3-3,3-4-2-1,15966
91,301000,Roma vs Palermo,384,802,7189,3-4-2-1,4-2-3-1,15794
93,301163,Cagliari vs Palermo,384,802,128,4-3-3,4-3-1-2,17862
94,301209,Palermo vs Milan,384,802,510,4-3-3,4-3-3,15791
95,301283,Bologna vs Palermo,384,802,5515,4-1-4-1,4-3-3,70098
