,fixture_id,pitch,weatherDescription,current
0,18156603,NaN,light rain,NaN
1,18156610,NaN,light rain,NaN
2,18156613,NaN,light rain,NaN
3,18156629,NaN,light rain,NaN
4,18156637,NaN,overcast clouds,NaN
5,18156640,NaN,broken clouds,NaN
6,18156655,NaN,scattered clouds,NaN
7,18156659,NaN,few clouds,NaN
8,18156672,NaN,few clouds,NaN
9,18156682,NaN,overcast clouds,NaN
10,18156690,NaN,light rain,NaN
11,18156696,NaN,overcast clouds,NaN
12,18156708,NaN,broken clouds,NaN
13,18156716,NaN,broken clouds,NaN
14,18156726,NaN,overcast clouds,NaN
15,18156736,NaN,NaN,NaN
16,18156744,NaN,overcast clouds,NaN
17,18156754,NaN,rain and snow,NaN
18,18156758,NaN,few clouds,NaN
19,18156772,NaN,overcast clouds,NaN
20,18156781,NaN,light rain,NaN
21,18156792,NaN,sky is clear,NaN
22,18156799,NaN,moderate rain,NaN
23,18156806,NaN,NaN,NaN
24,18156598,NaN,few clouds,NaN
25,18156609,NaN,heavy intensity rain,NaN
26,18156616,NaN,moderate rain,NaN
27,18156625,NaN,moderate rain,NaN
28,18156632,NaN,broken clouds,NaN
29,18156643,NaN,overcast clouds,NaN
30,18156654,NaN,NaN,NaN
31,18156661,NaN,broken clouds,NaN
32,18156670,NaN,sky is clear,NaN
33,18156679,NaN,sky is clear,NaN
34,18156691,NaN,sky is clear,NaN
36,18156706,NaN,light snow,NaN
37,18156714,NaN,snow,NaN
38,18156729,NaN,rain and snow,NaN
39,18156733,NaN,overcast clouds,NaN
40,18156746,NaN,overcast clouds,NaN
41,18156751,NaN,moderate rain,NaN
42,18156759,NaN,scattered clouds,NaN
43,18156769,NaN,overcast clouds,NaN
44,18156780,NaN,rain and snow,NaN
45,18156787,NaN,broken clouds,NaN
46,18156800,NaN,moderate rain,NaN
47,18156804,NaN,overcast clouds,NaN
48,18156597,NaN,scattered clouds,NaN
50,18156615,NaN,moderate rain,NaN
51,18156630,NaN,light rain,NaN
52,18156633,NaN,overcast clouds,NaN
53,18156646,NaN,light rain,NaN
54,18156652,NaN,overcast clouds,NaN
56,18156669,NaN,broken clouds,NaN
57,18156678,NaN,light rain,NaN
58,18156687,NaN,overcast clouds,NaN
59,18156702,NaN,overcast clouds,NaN
60,18156705,NaN,rain and snow,NaN
61,18156718,NaN,NaN,NaN
62,18156723,NaN,few clouds,NaN
63,18156731,NaN,overcast clouds,NaN
64,18156739,NaN,sky is clear,NaN
65,18156755,NaN,moderate rain,NaN
67,18156766,NaN,overcast clouds,NaN
68,18156777,NaN,moderate rain,NaN
69,18156785,NaN,scattered clouds,NaN
70,18156795,NaN,rain and snow,NaN
71,18156805,NaN,scattered clouds,NaN
73,18156607,NaN,broken clouds,NaN
74,18156619,NaN,light rain,NaN
75,18156624,NaN,light rain,NaN
76,18156634,NaN,light rain,NaN
77,18156642,NaN,broken clouds,NaN
78,18156656,NaN,light rain,NaN
79,18156660,NaN,overcast clouds,NaN
80,18156674,NaN,scattered clouds,NaN
83,18156695,NaN,overcast clouds,NaN
84,18156704,NaN,broken clouds,NaN
85,18156713,NaN,heavy intensity rain,NaN
86,18156724,NaN,light rain,NaN
87,18156732,NaN,overcast clouds,NaN
88,18156742,NaN,NaN,NaN
90,18156760,NaN,sky is clear,NaN
91,18156768,NaN,light rain,NaN
92,18156776,NaN,moderate rain,NaN
93,18156786,NaN,overcast clouds,NaN
94,18156797,NaN,NaN,NaN
