,fixture_id,pitch,weatherDescription,current
0,298145,NaN,NaN,NaN
1,298277,NaN,NaN,NaN
2,298438,NaN,NaN,NaN
3,298539,NaN,NaN,NaN
4,298632,NaN,NaN,NaN
5,298805,NaN,NaN,NaN
6,298901,NaN,NaN,NaN
7,299044,NaN,NaN,NaN
8,299116,NaN,NaN,NaN
9,299284,NaN,NaN,NaN
10,299344,NaN,NaN,NaN
11,299467,NaN,NaN,NaN
12,299632,NaN,NaN,NaN
13,1087254,NaN,NaN,NaN
14,299749,NaN,NaN,NaN
15,299834,NaN,NaN,NaN
16,299997,NaN,NaN,NaN
17,300101,NaN,NaN,NaN
18,300209,NaN,NaN,NaN
19,300361,NaN,NaN,NaN
20,1087193,NaN,NaN,NaN
21,300431,NaN,NaN,NaN
22,300930,NaN,NaN,NaN
23,301016,NaN,NaN,NaN
24,301125,NaN,NaN,NaN
25,301161,NaN,NaN,NaN
26,301264,NaN,NaN,NaN
27,301330,NaN,NaN,NaN
28,301411,NaN,NaN,NaN
29,298228,NaN,NaN,NaN
30,298251,NaN,NaN,NaN
31,298451,NaN,NaN,NaN
32,298601,NaN,NaN,NaN
33,298718,NaN,NaN,NaN
34,298816,NaN,NaN,NaN
35,298949,NaN,NaN,NaN
37,299139,NaN,NaN,NaN
38,299294,NaN,NaN,NaN
39,299417,NaN,NaN,NaN
40,299550,NaN,NaN,NaN
41,299643,NaN,NaN,NaN
42,1087275,NaN,NaN,NaN
43,299786,NaN,NaN,NaN
44,299882,NaN,NaN,NaN
45,300022,NaN,NaN,NaN
46,300070,NaN,NaN,NaN
47,300176,NaN,NaN,NaN
48,300384,NaN,NaN,NaN
49,1087219,NaN,NaN,NaN
50,300499,NaN,NaN,NaN
51,300951,NaN,NaN,NaN
52,301053,NaN,NaN,NaN
53,301132,NaN,NaN,NaN
54,301272,NaN,NaN,NaN
55,301352,NaN,NaN,NaN
57,298192,NaN,NaN,NaN
58,298352,NaN,NaN,NaN
59,298462,NaN,NaN,NaN
60,298562,NaN,NaN,NaN
61,298733,NaN,NaN,NaN
62,298768,NaN,NaN,NaN
63,298937,NaN,NaN,NaN
64,299035,NaN,NaN,NaN
65,299175,NaN,NaN,NaN
66,299309,NaN,NaN,NaN
68,299572,NaN,NaN,NaN
69,299656,NaN,NaN,NaN
70,299727,NaN,NaN,NaN
71,299823,NaN,NaN,NaN
73,300127,NaN,NaN,NaN
74,300231,NaN,NaN,NaN
75,300305,NaN,NaN,NaN
76,300466,NaN,NaN,NaN
77,300941,NaN,NaN,NaN
78,301062,NaN,NaN,NaN
79,301093,NaN,NaN,NaN
80,301183,NaN,NaN,NaN
81,301250,NaN,NaN,NaN
82,301322,NaN,NaN,NaN
83,301381,NaN,NaN,NaN
84,298155,NaN,NaN,NaN
85,298338,NaN,NaN,NaN
86,298378,NaN,NaN,NaN
87,298488,NaN,NaN,NaN
88,298658,NaN,NaN,NaN
89,298755,NaN,NaN,NaN
90,298924,NaN,NaN,NaN
91,299091,NaN,NaN,NaN
92,299128,NaN,NaN,NaN
94,299356,NaN,NaN,NaN
95,299562,NaN,NaN,NaN
97,299763,NaN,NaN,NaN
98,299905,NaN,NaN,NaN
99,299973,NaN,NaN,NaN
100,300117,NaN,NaN,NaN
101,300187,NaN,NaN,NaN
102,1086990,NaN,NaN,NaN
104,300419,NaN,NaN,NaN
105,1086872,NaN,NaN,NaN
106,300991,NaN,NaN,NaN
107,301007,NaN,NaN,NaN
108,301100,NaN,NaN,NaN
109,301168,NaN,NaN,NaN
110,301235,NaN,NaN,NaN
111,301315,NaN,NaN,NaN
112,301440,NaN,NaN,NaN
113,298180,NaN,NaN,NaN
114,298289,NaN,NaN,NaN
115,298404,NaN,NaN,NaN
116,298526,NaN,NaN,NaN
117,298706,NaN,NaN,NaN
118,298792,NaN,NaN,NaN
119,298974,NaN,NaN,NaN
120,299023,NaN,NaN,NaN
121,299152,NaN,NaN,NaN
123,299369,NaN,NaN,NaN
125,299620,NaN,NaN,NaN
126,1087265,NaN,NaN,NaN
128,299858,NaN,NaN,NaN
129,300034,NaN,NaN,NaN
131,300198,NaN,NaN,NaN
132,300349,NaN,NaN,NaN
133,300881,NaN,NaN,NaN
134,300900,NaN,NaN,NaN
135,301072,NaN,NaN,NaN
136,301117,NaN,NaN,NaN
137,301220,NaN,NaN,NaN
138,301337,NaN,NaN,NaN
139,301396,NaN,NaN,NaN
140,298119,NaN,NaN,NaN
141,298326,NaN,NaN,NaN
142,298389,NaN,NaN,NaN
143,298589,NaN,NaN,NaN
144,298670,NaN,NaN,NaN
146,298864,NaN,NaN,NaN
149,299260,NaN,NaN,NaN
150,299380,NaN,NaN,NaN
