,fixture_id,pitch,weatherDescription,current
0,18847925,GOOD,clear sky,clear sky
1,18847938,GOOD,overcast clouds,overcast clouds
2,18847950,NaN,overcast clouds,overcast clouds
3,18847957,NaN,heavy intensity rain,NaN
4,18847974,NaN,light rain,NaN
5,18847981,NaN,moderate rain,NaN
6,18847986,NaN,sky is clear,NaN
7,18848004,NaN,light rain,NaN
8,18848013,NaN,heavy intensity rain,NaN
9,18848015,NaN,light rain,NaN
10,18848030,NaN,light rain,NaN
11,19024885,NaN,light rain,NaN
12,18849927,NaN,scattered clouds,NaN
13,18849936,NaN,light rain,NaN
14,18849946,NaN,light rain,NaN
15,18849950,NaN,moderate rain,NaN
16,19032655,NaN,broken clouds,NaN
17,18849967,NaN,moderate rain,NaN
18,18849972,NaN,light rain,NaN
19,18849984,NaN,NaN,NaN
20,18849989,NaN,light intensity drizzle,light intensity drizzle
21,19043441,NaN,clear sky,clear sky
22,19062966,NaN,few clouds,few clouds
23,18850018,NaN,few clouds,few clouds
24,18850027,NaN,clear sky,clear sky
25,18850001,NaN,mist,mist
26,18850032,NaN,broken clouds,broken clouds
27,18850041,NaN,few clouds,few clouds
28,18850052,NaN,few clouds,few clouds
29,18850062,NaN,light rain,light rain
30,18847932,GOOD,clear sky,clear sky
31,18847937,GOOD,overcast clouds,overcast clouds
32,18847951,NaN,scattered clouds,scattered clouds
33,18847958,NaN,overcast clouds,NaN
34,18847970,NaN,light rain,NaN
36,18847991,NaN,sky is clear,NaN
37,18847999,NaN,sky is clear,NaN
38,18848014,NaN,sky is clear,NaN
39,18848024,NaN,NaN,NaN
40,18848031,NaN,moderate rain,NaN
41,19024883,NaN,NaN,NaN
42,18849922,NaN,sky is clear,NaN
43,18849931,NaN,broken clouds,NaN
44,19032646,NaN,sky is clear,NaN
45,18849948,NaN,scattered clouds,NaN
46,18849953,NaN,light rain,NaN
47,18849968,NaN,overcast clouds,NaN
48,18849973,NaN,sky is clear,NaN
49,18849988,NaN,clear sky,clear sky
50,18849990,NaN,scattered clouds,scattered clouds
51,19043435,NaN,NaN,NaN
52,18850006,NaN,overcast clouds,overcast clouds
53,18850017,NaN,scattered clouds,scattered clouds
54,18850020,NaN,broken clouds,NaN
55,18850037,NaN,few clouds,few clouds
56,18850043,NaN,broken clouds,broken clouds
57,18850056,NaN,overcast clouds,overcast clouds
58,18850064,NaN,light rain,light rain
59,18847926,GOOD,overcast clouds,overcast clouds
60,18847935,GOOD,clear sky,clear sky
61,18847946,GOOD,clear sky,clear sky
62,18847963,NaN,NaN,NaN
63,18847969,NaN,heavy intensity rain,NaN
64,18847976,NaN,sky is clear,NaN
65,18847993,NaN,overcast clouds,NaN
66,18848000,NaN,sky is clear,NaN
67,18848012,NaN,scattered clouds,NaN
68,18848022,NaN,moderate rain,NaN
69,18848027,NaN,sky is clear,NaN
71,18849932,NaN,NaN,NaN
72,18849941,NaN,sky is clear,NaN
73,18849957,NaN,sky is clear,NaN
74,18849960,NaN,light rain,NaN
76,18849986,NaN,broken clouds,broken clouds
77,18849997,NaN,clear sky,clear sky
78,19043198,NaN,broken clouds,NaN
79,19062965,NaN,drizzle,drizzle
80,18850012,NaN,clear sky,clear sky
81,18850023,NaN,clear sky,clear sky
82,18850005,NaN,clear sky,clear sky
83,18850036,NaN,sky is clear,NaN
84,18850047,NaN,light rain,NaN
86,18850063,NaN,light rain,NaN
87,18847927,GOOD,clear sky,clear sky
89,18847947,NaN,clear sky,clear sky
90,18847964,NaN,moderate rain,NaN
91,18847972,NaN,moderate rain,NaN
92,18847984,NaN,broken clouds,NaN
93,18847990,NaN,moderate rain,NaN
94,18847995,NaN,sky is clear,NaN
95,18848011,NaN,moderate rain,NaN
96,18848023,NaN,moderate rain,NaN
98,19024892,NaN,heavy intensity rain,NaN
99,18849928,NaN,moderate rain,NaN
100,18849935,NaN,moderate rain,NaN
101,18849943,NaN,overcast clouds,NaN
103,18849966,NaN,NaN,NaN
104,18849971,NaN,sky is clear,NaN
105,18849985,NaN,NaN,NaN
106,18849996,NaN,NaN,NaN
107,18850003,NaN,light rain,NaN
108,18850014,NaN,NaN,NaN
109,18850022,NaN,clear sky,clear sky
110,18850033,NaN,NaN,NaN
111,18850040,NaN,few clouds,NaN
112,18850053,NaN,NaN,NaN
114,18847941,GOOD,overcast clouds,overcast clouds
115,18847945,NaN,scattered clouds,scattered clouds
117,18847966,NaN,moderate rain,NaN
118,18847978,NaN,moderate rain,NaN
120,18847998,NaN,moderate rain,NaN
121,18848009,NaN,sky is clear,NaN
122,18848019,NaN,broken clouds,NaN
123,18848028,NaN,light rain,NaN
124,19024882,NaN,light rain,NaN
125,18849919,NaN,moderate rain,NaN
126,18849933,NaN,moderate rain,NaN
127,18849940,NaN,light rain,NaN
128,18849949,NaN,sky is clear,NaN
129,19032650,NaN,overcast clouds,NaN
131,18849975,NaN,sky is clear,NaN
132,18849981,NaN,overcast clouds,overcast clouds
133,18849995,NaN,few clouds,few clouds
134,19043445,NaN,moderate rain,moderate rain
136,18850015,NaN,light rain,NaN
137,18850025,NaN,broken clouds,NaN
138,18850030,NaN,moderate rain,NaN
139,18850045,NaN,overcast clouds,overcast clouds
140,18850058,NaN,NaN,NaN
141,18850068,NaN,light rain,NaN
142,18847930,GOOD,few clouds,few clouds
143,18847944,GOOD,scattered clouds,scattered clouds
144,18847948,GOOD,overcast clouds,overcast clouds
145,18847959,NaN,overcast clouds,NaN
146,18847973,NaN,light rain,NaN
149,18848003,NaN,sky is clear,NaN
152,18848025,NaN,sky is clear,NaN
153,19024893,NaN,overcast clouds,NaN
154,18849923,NaN,light rain,NaN
155,18849937,NaN,moderate rain,NaN
157,18849956,NaN,light rain,NaN
158,19032657,NaN,broken clouds,NaN
159,18849964,NaN,NaN,NaN
160,18849976,NaN,NaN,NaN
161,18849979,NaN,broken clouds,broken clouds
162,18849994,NaN,few clouds,few clouds
163,19043438,NaN,sky is clear,NaN
168,18850042,NaN,overcast clouds,NaN
169,18850050,NaN,clear sky,clear sky
170,18850066,NaN,broken clouds,NaN
171,18847928,GOOD,clear sky,clear sky
172,18847942,GOOD,clear sky,clear sky
174,18847955,NaN,overcast clouds,NaN
175,18847967,NaN,light rain,NaN
176,18847977,NaN,light rain,NaN
177,18847994,NaN,NaN,NaN
179,18848007,NaN,sky is clear,NaN
180,18848018,NaN,light rain,NaN
181,18848032,NaN,broken clouds,NaN
182,19024888,NaN,NaN,NaN
183,18849920,NaN,NaN,NaN
184,18849930,NaN,moderate rain,NaN
185,18849947,NaN,light rain,NaN
186,18849955,NaN,moderate rain,NaN
187,19032660,NaN,moderate rain,NaN
192,19043442,NaN,scattered clouds,scattered clouds
193,18850007,NaN,scattered clouds,scattered clouds
194,19062963,NaN,scattered clouds,scattered clouds
195,18850009,NaN,scattered clouds,NaN
196,19070513,NaN,overcast clouds,overcast clouds
197,18850021,NaN,clear sky,clear sky
198,18850038,NaN,clear sky,clear sky
199,18850046,NaN,broken clouds,broken clouds
200,18850054,NaN,NaN,NaN
201,18850061,NaN,broken clouds,broken clouds
202,18847934,GOOD,clear sky,clear sky
