,fixture_id,pitch,weatherDescription,current
0,11895814,NaN,NaN,NaN
1,11895821,NaN,NaN,NaN
2,11895834,NaN,NaN,NaN
3,11895840,NaN,NaN,NaN
4,11895854,NaN,NaN,NaN
5,11895855,NaN,NaN,NaN
6,11895874,NaN,NaN,NaN
7,11895880,NaN,NaN,NaN
8,11895889,NaN,NaN,NaN
9,11895903,NaN,NaN,NaN
10,11895909,NaN,NaN,NaN
11,11895923,NaN,NaN,NaN
12,11895932,NaN,NaN,NaN
13,11895943,NaN,NaN,NaN
15,11895954,NaN,NaN,NaN
16,11895963,NaN,NaN,NaN
17,11895973,NaN,NaN,NaN
18,11982135,NaN,NaN,NaN
19,11895983,NaN,NaN,NaN
20,11895991,NaN,NaN,NaN
21,11990815,NaN,NaN,NaN
22,11896004,NaN,NaN,NaN
23,12002870,NaN,NaN,NaN
24,11896005,NaN,NaN,NaN
25,12011960,NaN,NaN,NaN
26,11896024,NaN,NaN,NaN
27,12016293,NaN,NaN,NaN
28,11896034,NaN,NaN,NaN
29,11896044,NaN,NaN,NaN
30,11896046,NaN,NaN,NaN
31,11896055,NaN,NaN,NaN
32,11896073,NaN,NaN,NaN
33,11895809,NaN,NaN,NaN
34,11895824,NaN,NaN,NaN
36,11895842,NaN,NaN,NaN
37,11895852,NaN,NaN,NaN
38,11895861,NaN,NaN,NaN
39,11895867,NaN,NaN,NaN
40,11895881,NaN,NaN,NaN
41,11895892,NaN,NaN,NaN
42,11895912,NaN,NaN,NaN
43,11895921,NaN,NaN,NaN
44,11895930,NaN,NaN,NaN
45,11895942,NaN,NaN,NaN
46,11895945,NaN,NaN,NaN
47,11895962,NaN,NaN,NaN
48,11895974,NaN,NaN,NaN
49,11895896,NaN,NaN,NaN
50,11895982,NaN,NaN,NaN
51,11895989,NaN,NaN,NaN
52,11896003,NaN,NaN,NaN
53,12002867,NaN,NaN,NaN
54,11896014,NaN,NaN,NaN
55,12011958,NaN,NaN,NaN
56,11896021,NaN,NaN,NaN
57,12016294,NaN,NaN,NaN
58,11896032,NaN,NaN,NaN
59,11896041,NaN,NaN,NaN
60,11896051,NaN,NaN,NaN
61,11896061,NaN,NaN,NaN
62,11896068,NaN,NaN,NaN
64,11895819,NaN,NaN,NaN
65,11895828,NaN,NaN,NaN
66,11895838,NaN,NaN,NaN
67,11895849,NaN,NaN,NaN
68,11895864,NaN,NaN,NaN
69,11895871,NaN,NaN,NaN
71,11895891,NaN,NaN,NaN
72,11895898,NaN,NaN,NaN
73,11895910,NaN,NaN,NaN
74,11895917,NaN,NaN,NaN
75,11895934,NaN,NaN,NaN
76,11895938,NaN,NaN,NaN
77,11895946,NaN,NaN,NaN
78,11895958,NaN,NaN,NaN
79,11895971,NaN,NaN,NaN
80,11982154,NaN,NaN,NaN
81,11895977,NaN,NaN,NaN
82,11895990,NaN,NaN,NaN
83,11990811,NaN,NaN,NaN
84,11895996,NaN,NaN,NaN
85,12002868,NaN,NaN,NaN
86,11896012,NaN,NaN,NaN
87,12011955,NaN,NaN,NaN
88,11896018,NaN,NaN,NaN
89,12016292,NaN,NaN,NaN
90,11896026,NaN,NaN,NaN
91,12018000,NaN,NaN,NaN
92,11896038,NaN,NaN,NaN
93,11896052,NaN,NaN,NaN
94,11896058,NaN,NaN,NaN
95,12018001,NaN,NaN,NaN
96,11896071,NaN,NaN,NaN
97,11895808,NaN,NaN,NaN
98,11895816,NaN,NaN,NaN
99,11895827,NaN,NaN,NaN
100,11895837,NaN,NaN,NaN
101,11895851,NaN,NaN,NaN
102,11895856,NaN,NaN,NaN
104,11895876,NaN,NaN,NaN
105,11895893,NaN,NaN,NaN
107,11895908,NaN,NaN,NaN
109,11895929,NaN,NaN,NaN
110,11895935,NaN,NaN,NaN
111,11895951,NaN,NaN,NaN
112,11895956,NaN,NaN,NaN
113,11895969,NaN,NaN,NaN
114,11982149,NaN,NaN,NaN
115,11895976,NaN,NaN,NaN
116,11895985,NaN,NaN,NaN
117,11990808,NaN,NaN,NaN
118,11895997,NaN,NaN,NaN
119,12002876,NaN,NaN,NaN
120,11896009,NaN,NaN,NaN
121,11896017,NaN,NaN,NaN
122,11896027,NaN,NaN,NaN
123,11896039,NaN,NaN,NaN
124,11896048,NaN,NaN,NaN
125,11896064,NaN,NaN,NaN
127,11896083,NaN,NaN,NaN
129,11895817,NaN,NaN,NaN
130,11895832,NaN,NaN,NaN
132,11895846,NaN,NaN,NaN
133,11895857,NaN,NaN,NaN
134,11895868,NaN,NaN,NaN
135,11895877,NaN,NaN,NaN
136,11895885,NaN,NaN,NaN
137,11895897,NaN,NaN,NaN
139,11895915,NaN,NaN,NaN
140,11895928,NaN,NaN,NaN
143,11895948,NaN,NaN,NaN
144,11895959,NaN,NaN,NaN
145,11895968,NaN,NaN,NaN
146,11982132,NaN,NaN,NaN
147,11895979,NaN,NaN,NaN
148,11895987,NaN,NaN,NaN
149,11997940,NaN,NaN,NaN
150,11895995,NaN,NaN,NaN
151,12002873,NaN,NaN,NaN
152,11896007,NaN,NaN,NaN
153,11896023,NaN,NaN,NaN
154,11896028,NaN,NaN,NaN
156,11896049,NaN,NaN,NaN
158,11896070,NaN,NaN,NaN
159,11895805,NaN,NaN,NaN
161,11895830,NaN,NaN,NaN
163,11895850,NaN,NaN,NaN
165,11895872,NaN,NaN,NaN
166,11895878,NaN,NaN,NaN
167,11895894,NaN,NaN,NaN
168,11895900,NaN,NaN,NaN
169,11895913,NaN,NaN,NaN
170,11895919,NaN,NaN,NaN
171,11895926,NaN,NaN,NaN
172,11895940,NaN,NaN,NaN
173,11895950,NaN,NaN,NaN
174,11895960,NaN,NaN,NaN
176,11982131,NaN,NaN,NaN
178,11895986,NaN,NaN,NaN
179,11990804,NaN,NaN,NaN
180,11896000,NaN,NaN,NaN
181,12002863,NaN,NaN,NaN
182,11896010,NaN,NaN,NaN
183,11896016,NaN,NaN,NaN
184,11896031,NaN,NaN,NaN
187,11896056,NaN,NaN,NaN
189,11895812,NaN,NaN,NaN
190,11895823,NaN,NaN,NaN
191,11895826,NaN,NaN,NaN
192,11895839,NaN,NaN,NaN
194,11895858,NaN,NaN,NaN
197,11895888,NaN,NaN,NaN
198,11895904,NaN,NaN,NaN
200,11895918,NaN,NaN,NaN
202,11895936,NaN,NaN,NaN
204,11895952,NaN,NaN,NaN
205,11895957,NaN,NaN,NaN
206,11895966,NaN,NaN,NaN
207,11982150,NaN,NaN,NaN
209,11895993,NaN,NaN,NaN
210,11990807,NaN,NaN,NaN
211,11895998,NaN,NaN,NaN
212,12002875,NaN,NaN,NaN
215,11896025,NaN,NaN,NaN
216,11896047,NaN,NaN,NaN
218,11896069,NaN,NaN,NaN
219,11896037,NaN,NaN,NaN
223,11895844,NaN,NaN,NaN
226,11895869,NaN,NaN,NaN
227,11895884,NaN,NaN,NaN
228,11895886,NaN,NaN,NaN
230,11895907,NaN,NaN,NaN
231,11895924,NaN,NaN,NaN
232,11895925,NaN,NaN,NaN
233,11895944,NaN,NaN,NaN
236,11895964,NaN,NaN,NaN
237,11895970,NaN,NaN,NaN
238,11982136,NaN,NaN,NaN
239,11895984,NaN,NaN,NaN
240,11895994,NaN,NaN,NaN
241,11990812,NaN,NaN,NaN
242,11896002,NaN,NaN,NaN
243,12002869,NaN,NaN,NaN
245,11896020,NaN,NaN,NaN
248,11896054,NaN,NaN,NaN
249,11896062,NaN,NaN,NaN
250,11896074,NaN,NaN,NaN
