,fixture_id,pitch,weatherDescription,current
0,16840076,NaN,NaN,NaN
1,16840082,NaN,NaN,NaN
2,16840087,NaN,NaN,NaN
3,16840099,NaN,NaN,NaN
4,16840107,NaN,NaN,NaN
5,16840118,NaN,NaN,NaN
6,16840129,NaN,NaN,NaN
7,16840137,NaN,NaN,NaN
8,16840144,NaN,NaN,NaN
9,16840154,NaN,NaN,NaN
10,16840161,NaN,NaN,NaN
11,16840171,NaN,NaN,NaN
12,16840181,NaN,NaN,NaN
13,16840190,NaN,NaN,NaN
14,16840203,NaN,NaN,NaN
15,16840210,NaN,NaN,NaN
16,16840217,NaN,NaN,NaN
17,16840226,NaN,NaN,NaN
18,16840235,NaN,NaN,NaN
19,16840244,NaN,NaN,NaN
20,16840257,NaN,NaN,NaN
21,16840262,NaN,NaN,NaN
22,16840271,NaN,NaN,NaN
23,16840281,NaN,NaN,NaN
24,16840285,NaN,NaN,NaN
25,16840298,NaN,light rain,
26,16840308,NaN,few clouds,
27,16840074,NaN,NaN,NaN
28,16840078,NaN,NaN,NaN
29,16840092,NaN,NaN,NaN
30,16840100,NaN,NaN,NaN
31,16840110,NaN,NaN,NaN
32,16840115,NaN,NaN,NaN
33,16840127,NaN,NaN,NaN
34,16840139,NaN,NaN,NaN
35,16840146,NaN,NaN,NaN
37,16840165,NaN,NaN,NaN
38,16840176,NaN,NaN,NaN
39,16840182,NaN,NaN,NaN
40,16840192,NaN,NaN,NaN
41,16840199,NaN,NaN,NaN
42,16840209,NaN,NaN,NaN
43,16840213,NaN,NaN,NaN
44,16840229,NaN,NaN,NaN
45,16840236,NaN,NaN,NaN
46,16840246,NaN,NaN,NaN
47,16840255,NaN,NaN,NaN
48,16840260,NaN,NaN,NaN
49,16840272,NaN,NaN,NaN
50,16840284,NaN,NaN,NaN
51,16840289,NaN,NaN,NaN
52,16840297,NaN,scattered clouds,
54,16840072,NaN,NaN,NaN
55,16840081,NaN,NaN,NaN
56,16840090,NaN,NaN,NaN
