,fixture_id,pitch,weatherDescription,current
0,18867313,GOOD,clear sky,clear sky
1,18867326,NaN,broken clouds,broken clouds
2,18867329,NaN,few clouds,NaN
3,18867346,NaN,light rain,NaN
4,18867352,NaN,sky is clear,NaN
5,18867367,NaN,broken clouds,NaN
6,18867376,NaN,few clouds,NaN
7,18867387,NaN,sky is clear,NaN
8,18867394,NaN,sky is clear,NaN
9,18867406,NaN,light rain,NaN
10,18867414,NaN,scattered clouds,NaN
11,18867425,NaN,sky is clear,NaN
12,18867431,NaN,overcast clouds,NaN
13,18867444,NaN,moderate rain,NaN
14,18867456,NaN,light rain,NaN
15,18867465,NaN,sky is clear,NaN
16,18867474,NaN,clear sky,clear sky
17,18867487,NaN,broken clouds,broken clouds
18,18867491,NaN,overcast clouds,overcast clouds
19,18867567,NaN,sky is clear,NaN
20,18867500,NaN,overcast clouds,overcast clouds
21,18867577,NaN,clear sky,clear sky
22,18867518,NaN,overcast clouds,overcast clouds
23,18867525,NaN,scattered clouds,scattered clouds
24,18867585,NaN,broken clouds,NaN
25,18867537,NaN,moderate rain,NaN
26,18867545,NaN,moderate rain,NaN
27,18867316,GOOD,clear sky,clear sky
28,18867321,NaN,clear sky,clear sky
30,18867340,NaN,overcast clouds,NaN
31,18867349,NaN,sky is clear,NaN
32,18867363,NaN,overcast clouds,NaN
33,18867369,NaN,sky is clear,NaN
34,18867385,NaN,sky is clear,NaN
35,18867389,NaN,light rain,NaN
36,18867400,NaN,moderate rain,NaN
37,18867409,NaN,moderate rain,NaN
38,18867428,NaN,overcast clouds,NaN
39,18867429,NaN,sky is clear,NaN
40,18867447,NaN,light snow,NaN
41,18867449,NaN,overcast clouds,NaN
42,18867459,NaN,sky is clear,NaN
43,18867469,NaN,clear sky,clear sky
44,18867479,NaN,few clouds,few clouds
45,18943906,NaN,few clouds,few clouds
46,18867494,NaN,broken clouds,NaN
47,19029165,NaN,broken clouds,broken clouds
48,18867559,NaN,clear sky,clear sky
49,18867569,NaN,clear sky,clear sky
