,fixture_id,pitch,weatherDescription,current
0,16924603,NaN,NaN,NaN
1,17132373,NaN,NaN,NaN
2,16924612,NaN,NaN,NaN
3,17221836,NaN,NaN,NaN
4,16924615,NaN,NaN,NaN
5,17281799,NaN,NaN,NaN
6,16924628,NaN,NaN,NaN
7,16924636,NaN,NaN,NaN
8,16924647,NaN,NaN,NaN
9,16924663,NaN,NaN,NaN
10,16924666,NaN,NaN,NaN
11,16924675,NaN,NaN,NaN
12,16924686,NaN,NaN,NaN
13,16924696,NaN,NaN,NaN
14,16924710,NaN,NaN,NaN
15,16924717,NaN,NaN,NaN
16,16924725,NaN,NaN,NaN
17,16924743,NaN,NaN,NaN
18,16924745,NaN,NaN,NaN
19,16924755,NaN,NaN,NaN
20,17673916,NaN,NaN,NaN
21,16924774,NaN,NaN,NaN
22,16924778,NaN,NaN,NaN
23,17746670,NaN,NaN,NaN
24,16924785,NaN,NaN,NaN
25,16924796,NaN,NaN,NaN
26,16924814,NaN,NaN,NaN
27,16924816,NaN,NaN,NaN
28,17768093,NaN,NaN,NaN
29,16943038,NaN,NaN,NaN
30,16943049,NaN,NaN,NaN
31,16943066,NaN,NaN,NaN
32,16943068,NaN,NaN,NaN
33,16943085,NaN,NaN,NaN
34,16943087,NaN,sky is clear,
35,16924598,NaN,NaN,NaN
36,17132365,NaN,NaN,NaN
37,16924609,NaN,NaN,NaN
38,17217935,NaN,NaN,NaN
39,16924618,NaN,NaN,NaN
40,17281801,NaN,NaN,NaN
41,16924634,NaN,NaN,NaN
42,16924642,NaN,NaN,NaN
43,16924649,NaN,NaN,NaN
44,16924657,NaN,NaN,NaN
45,16924674,NaN,NaN,NaN
46,16924677,NaN,NaN,NaN
47,16924690,NaN,NaN,NaN
48,16924700,NaN,NaN,NaN
49,16924708,NaN,NaN,NaN
51,16924731,NaN,NaN,NaN
52,16924737,NaN,NaN,NaN
53,17673907,NaN,NaN,NaN
54,16924753,NaN,NaN,NaN
55,16924777,NaN,NaN,NaN
56,16924767,NaN,NaN,NaN
57,17746672,NaN,NaN,NaN
59,16924803,NaN,NaN,NaN
60,16924807,NaN,NaN,NaN
61,16924817,NaN,NaN,NaN
62,16943041,NaN,NaN,NaN
63,16924756,NaN,NaN,NaN
64,16943051,NaN,NaN,NaN
65,16943058,NaN,NaN,NaN
66,16943129,NaN,NaN,NaN
67,16943071,NaN,NaN,NaN
68,16943080,NaN,NaN,NaN
69,16943090,NaN,sky is clear,
70,16924599,NaN,NaN,NaN
71,16924607,NaN,NaN,NaN
72,17217939,NaN,NaN,NaN
73,16924619,NaN,NaN,NaN
74,17281803,NaN,NaN,NaN
75,16924626,NaN,NaN,NaN
76,16924637,NaN,NaN,NaN
77,16924650,NaN,NaN,NaN
78,16924659,NaN,NaN,NaN
79,16924671,NaN,NaN,NaN
80,16924679,NaN,NaN,NaN
82,16924699,NaN,NaN,NaN
84,16924723,NaN,NaN,NaN
85,16924728,NaN,NaN,NaN
86,16924740,NaN,NaN,NaN
87,16924751,NaN,NaN,NaN
88,16924762,NaN,NaN,NaN
89,17673908,NaN,NaN,NaN
90,16924780,NaN,NaN,NaN
91,16924773,NaN,NaN,NaN
92,17746680,NaN,NaN,NaN
93,16924793,NaN,NaN,NaN
94,16924804,NaN,NaN,NaN
96,16924819,NaN,NaN,NaN
97,16943042,NaN,NaN,NaN
98,16943052,NaN,NaN,NaN
99,16943064,NaN,NaN,NaN
100,16943091,NaN,NaN,NaN
102,16943086,NaN,NaN,NaN
104,16924605,NaN,NaN,NaN
105,17133534,NaN,NaN,NaN
108,16924625,NaN,NaN,NaN
109,16924640,NaN,NaN,NaN
110,16924645,NaN,NaN,NaN
111,16924660,NaN,NaN,NaN
112,16924665,NaN,NaN,NaN
113,16924678,NaN,NaN,NaN
114,16924685,NaN,NaN,NaN
115,16924702,NaN,NaN,NaN
116,16924705,NaN,NaN,NaN
117,16924715,NaN,NaN,NaN
118,16924729,NaN,NaN,NaN
119,17361060,NaN,NaN,NaN
120,16924735,NaN,NaN,NaN
122,16924764,NaN,NaN,NaN
123,17673390,NaN,NaN,NaN
124,16924765,NaN,NaN,NaN
125,16924775,NaN,NaN,NaN
126,17759654,NaN,NaN,NaN
127,16924792,NaN,NaN,NaN
128,16924795,NaN,NaN,NaN
129,16924810,NaN,NaN,NaN
130,16924815,NaN,NaN,NaN
131,16943037,NaN,NaN,NaN
132,16943047,NaN,NaN,NaN
133,16943061,NaN,NaN,NaN
134,16943069,NaN,NaN,NaN
135,16943077,NaN,NaN,NaN
136,16943096,NaN,sky is clear,
137,16924601,NaN,NaN,NaN
138,16924610,NaN,NaN,NaN
140,16924620,NaN,NaN,NaN
141,16924630,NaN,NaN,NaN
142,16924639,NaN,NaN,NaN
144,16924658,NaN,NaN,NaN
145,16924670,NaN,NaN,NaN
148,16924701,NaN,NaN,NaN
150,16924719,NaN,NaN,NaN
151,16924733,NaN,NaN,NaN
152,16924739,NaN,NaN,NaN
153,16924748,NaN,NaN,NaN
154,16924761,NaN,NaN,NaN
155,17673394,NaN,NaN,NaN
156,16924779,NaN,NaN,NaN
157,16924769,NaN,NaN,NaN
158,17746675,NaN,NaN,NaN
159,16924787,NaN,NaN,NaN
160,16924800,NaN,NaN,NaN
162,16924824,NaN,NaN,NaN
165,16943048,NaN,NaN,NaN
167,16943088,NaN,NaN,NaN
169,16943082,NaN,NaN,NaN
170,17868880,NaN,overcast clouds,
171,16924604,NaN,NaN,NaN
172,17132356,NaN,NaN,NaN
173,16924614,NaN,NaN,NaN
174,16924624,NaN,NaN,NaN
176,16924638,NaN,NaN,NaN
177,16924654,NaN,NaN,NaN
178,16924664,NaN,NaN,NaN
180,16924684,NaN,NaN,NaN
183,16924714,NaN,NaN,NaN
184,16924722,NaN,NaN,NaN
185,16924726,NaN,NaN,NaN
187,16924744,NaN,NaN,NaN
188,16924750,NaN,NaN,NaN
190,17673384,NaN,NaN,NaN
191,16924772,NaN,NaN,NaN
192,16924784,NaN,NaN,NaN
193,17746682,NaN,NaN,NaN
194,16924790,NaN,NaN,NaN
195,16924798,NaN,NaN,NaN
198,17767316,NaN,NaN,NaN
199,16943044,NaN,NaN,NaN
200,16943056,NaN,NaN,NaN
201,16943063,NaN,NaN,NaN
202,16943092,NaN,NaN,NaN
203,16943067,NaN,NaN,NaN
206,17132354,NaN,NaN,NaN
208,16924621,NaN,NaN,NaN
209,16924629,NaN,NaN,NaN
211,16924646,NaN,NaN,NaN
213,16924668,NaN,NaN,NaN
215,16924689,NaN,NaN,NaN
216,16924698,NaN,NaN,NaN
217,16924709,NaN,NaN,NaN
218,16924718,NaN,NaN,NaN
219,16924730,NaN,NaN,NaN
220,16924738,NaN,NaN,NaN
221,16924754,NaN,NaN,NaN
222,16924763,NaN,NaN,NaN
223,17673396,NaN,NaN,NaN
225,16924791,NaN,NaN,NaN
227,16924808,NaN,NaN,NaN
228,16924818,NaN,NaN,NaN
231,16924768,NaN,NaN,NaN
232,16943060,NaN,NaN,NaN
233,16943076,NaN,NaN,NaN
234,16943081,NaN,NaN,NaN
236,16924597,NaN,NaN,NaN
237,17132367,NaN,NaN,NaN
238,16924611,NaN,NaN,NaN
239,16924617,NaN,NaN,NaN
240,16924627,NaN,NaN,NaN
245,16924676,NaN,NaN,NaN
246,16924688,NaN,NaN,NaN
247,16924703,NaN,NaN,NaN
248,16924706,NaN,NaN,NaN
249,16924721,NaN,NaN,NaN
251,16924736,NaN,NaN,NaN
253,16924758,NaN,NaN,NaN
256,16924781,NaN,NaN,NaN
257,16924794,NaN,NaN,NaN
259,16924812,NaN,NaN,NaN
261,16943040,NaN,NaN,NaN
264,16943089,NaN,NaN,NaN
265,16943074,NaN,NaN,NaN
266,16943078,NaN,NaN,NaN
268,17132351,NaN,NaN,NaN
269,16924606,NaN,NaN,NaN
274,16924662,NaN,NaN,NaN
275,16924667,NaN,NaN,NaN
276,16924682,NaN,NaN,NaN
277,16924693,NaN,NaN,NaN
279,16924713,NaN,NaN,NaN
280,16924720,NaN,NaN,NaN
282,16924742,NaN,NaN,NaN
283,16924746,NaN,NaN,NaN
285,17673392,NaN,NaN,NaN
286,16924770,NaN,NaN,NaN
287,16924782,NaN,NaN,NaN
288,17746673,NaN,NaN,NaN
289,16924788,NaN,NaN,NaN
290,16924801,NaN,NaN,NaN
291,16924809,NaN,NaN,NaN
292,16924822,NaN,NaN,NaN
293,17767820,NaN,NaN,NaN
294,16943046,NaN,NaN,NaN
297,16943093,NaN,NaN,NaN
298,16943073,NaN,NaN,NaN
300,17868881,NaN,sky is clear,
302,17217933,NaN,NaN,NaN
305,16924631,NaN,NaN,NaN
306,16924641,NaN,NaN,NaN
307,16924651,NaN,NaN,NaN
309,16924669,NaN,NaN,NaN
310,16924680,NaN,NaN,NaN
311,16924692,NaN,NaN,NaN
312,16924704,NaN,NaN,NaN
313,16924711,NaN,NaN,NaN
316,17361062,NaN,NaN,NaN
319,16924760,NaN,NaN,NaN
320,17708034,NaN,NaN,NaN
321,17673905,NaN,NaN,NaN
322,16924595,NaN,NaN,NaN
328,16924811,NaN,NaN,NaN
329,16924820,NaN,NaN,NaN
330,17768092,NaN,NaN,NaN
331,16943045,NaN,NaN,NaN
332,16943053,NaN,NaN,NaN
333,16943057,NaN,NaN,NaN
335,16943072,NaN,NaN,NaN
336,16943083,NaN,NaN,NaN
338,16924602,NaN,NaN,NaN
339,17132361,NaN,NaN,NaN
341,17217934,NaN,NaN,NaN
342,16924622,NaN,NaN,NaN
343,17281797,NaN,NaN,NaN
344,16924632,NaN,NaN,NaN
347,16924661,NaN,NaN,NaN
348,16924672,NaN,NaN,NaN
349,16924681,NaN,NaN,NaN
351,16924712,NaN,NaN,NaN
354,17361061,NaN,NaN,NaN
355,16924741,NaN,NaN,NaN
361,16924695,NaN,NaN,NaN
363,16924799,NaN,NaN,NaN
365,16924821,NaN,NaN,NaN
366,16943039,NaN,NaN,NaN
369,16943075,NaN,NaN,NaN
370,16943084,NaN,NaN,NaN
372,16924600,NaN,NaN,NaN
373,17132355,NaN,NaN,NaN
374,16924608,NaN,NaN,NaN
375,17217936,NaN,NaN,NaN
377,17281800,NaN,NaN,NaN
380,16924652,NaN,NaN,NaN
385,16924697,NaN,NaN,NaN
386,16924707,NaN,NaN,NaN
391,16924759,NaN,NaN,NaN
392,17673388,NaN,NaN,NaN
394,17746676,NaN,NaN,NaN
399,17768981,NaN,NaN,NaN
401,16924749,NaN,NaN,NaN
403,16943059,NaN,NaN,NaN
404,16943095,NaN,NaN,NaN
405,16943070,NaN,NaN,NaN
406,16943079,NaN,NaN,NaN
407,17868878,NaN,heavy intensity rain,
