,fixture_id,pitch,weatherDescription,current
0,18219123,NaN,few clouds,
1,18219132,NaN,sky is clear,
2,18219146,NaN,moderate rain,
3,18219152,NaN,light rain,
4,18219162,NaN,sky is clear,
5,18219171,NaN,broken clouds,
6,18219187,NaN,broken clouds,
7,18219193,NaN,overcast clouds,
8,18219203,NaN,scattered clouds,
9,18219210,NaN,light rain,
10,18219224,NaN,sky is clear,
11,18219233,NaN,sky is clear,
12,18219244,NaN,overcast clouds,
13,18219258,NaN,NaN,NaN
14,18219264,NaN,overcast clouds,
15,18219275,NaN,few clouds,
16,18219282,NaN,sky is clear,
17,18219295,NaN,broken clouds,
18,18219302,NaN,sky is clear,
19,18219323,NaN,broken clouds,
20,18219329,NaN,sky is clear,
21,18452139,NaN,NaN,NaN
22,18219343,NaN,sky is clear,
23,18220093,NaN,sky is clear,
24,18465565,NaN,NaN,NaN
25,18220106,NaN,NaN,NaN
26,18220113,NaN,overcast clouds,
27,18220122,NaN,moderate rain,
28,18493353,NaN,NaN,NaN
29,18220134,NaN,light rain,
30,18219121,NaN,sky is clear,
31,18219133,NaN,light rain,
32,18219142,NaN,scattered clouds,
33,18219149,NaN,moderate rain,
34,18219161,NaN,broken clouds,
35,18219169,NaN,heavy intensity rain,
36,18219184,NaN,sky is clear,
37,18219190,NaN,sky is clear,
38,18219205,NaN,overcast clouds,
40,18219227,NaN,light rain,
41,18219230,NaN,overcast clouds,
42,18219243,NaN,rain and snow,
43,18219250,NaN,moderate rain,
44,18219268,NaN,scattered clouds,
45,18219271,NaN,light rain,
46,18219283,NaN,NaN,NaN
47,18364229,NaN,light rain,
48,18219297,NaN,sky is clear,
49,18219299,NaN,light rain,
50,18219313,NaN,sky is clear,
51,18219320,NaN,moderate rain,
52,18219338,NaN,NaN,NaN
54,18219340,NaN,few clouds,
55,18220091,NaN,few clouds,
56,18220101,NaN,light rain,
57,18220117,NaN,moderate rain,
58,18220121,NaN,light rain,
59,18220133,NaN,moderate rain,
60,18219126,NaN,moderate rain,
61,18219137,NaN,light rain,
64,18219166,NaN,scattered clouds,
65,18219172,NaN,moderate rain,
66,18219186,NaN,moderate rain,
67,18219189,NaN,light rain,
68,18219206,NaN,moderate rain,
69,18219215,NaN,moderate rain,
70,18219228,NaN,light rain,
71,18219235,NaN,moderate rain,
72,18219246,NaN,sky is clear,
73,18219255,NaN,moderate rain,
74,18219261,NaN,NaN,NaN
75,18219276,NaN,moderate rain,
76,18219280,NaN,moderate rain,
77,18364948,NaN,light rain,
78,18219296,NaN,light rain,
79,18219305,NaN,light rain,
80,18219316,NaN,moderate rain,
81,18219324,NaN,NaN,NaN
82,18219336,NaN,light rain,
83,18452132,NaN,NaN,NaN
84,18219347,NaN,scattered clouds,
85,18220097,NaN,moderate rain,
86,18220105,NaN,sky is clear,
88,18220120,NaN,light snow,
89,18220138,NaN,sky is clear,
90,18219122,NaN,moderate rain,
92,18219140,NaN,scattered clouds,
93,18219151,NaN,sky is clear,
94,18219165,NaN,broken clouds,
95,18219170,NaN,light rain,
96,18219183,NaN,moderate rain,
97,18219194,NaN,scattered clouds,
98,18219202,NaN,light rain,
99,18219217,NaN,sky is clear,
100,18219223,NaN,moderate rain,
101,18219234,NaN,NaN,NaN
104,18219263,NaN,light snow,
105,18219278,NaN,NaN,NaN
106,18219281,NaN,sky is clear,
108,18219298,NaN,sky is clear,
109,18219301,NaN,rain and snow,
110,18219318,NaN,moderate rain,
111,18219322,NaN,rain and snow,
112,18219337,NaN,sky is clear,
113,18219342,NaN,sky is clear,
114,18220094,NaN,broken clouds,
115,18220103,NaN,scattered clouds,
116,18220115,NaN,light rain,
117,18220123,NaN,light snow,
118,18220132,NaN,NaN,NaN
119,18219128,NaN,broken clouds,
121,18219144,NaN,NaN,NaN
122,18219153,NaN,heavy intensity rain,
123,18219167,NaN,sky is clear,
125,18219188,NaN,light rain,
126,18219192,NaN,sky is clear,
128,18219211,NaN,sky is clear,
130,18219231,NaN,sky is clear,
131,18219245,NaN,moderate rain,
132,18219251,NaN,rain and snow,
133,18219266,NaN,light rain,
134,18219272,NaN,sky is clear,
135,18219288,NaN,NaN,NaN
136,18219290,NaN,few clouds,
137,18219303,NaN,broken clouds,
138,18219312,NaN,sky is clear,
139,18219325,NaN,sky is clear,
140,18219332,NaN,sky is clear,
142,18219345,NaN,overcast clouds,
144,18465562,NaN,NaN,NaN
145,18220100,NaN,scattered clouds,
146,18220114,NaN,sky is clear,
148,18493355,NaN,NaN,NaN
149,18220135,NaN,light snow,
150,18219120,NaN,sky is clear,
151,18219135,NaN,light rain,
152,18219141,NaN,few clouds,
153,18219154,NaN,sky is clear,
155,18219174,NaN,NaN,NaN
