,fixture_id,pitch,weatherDescription,current
0,18545097,GOOD,overcast clouds,NaN
1,18545100,GOOD,broken clouds,NaN
2,18545112,GOOD,light rain,NaN
3,18545124,GOOD,scattered clouds,NaN
4,18545130,GOOD,light rain,NaN
5,18545147,GOOD,light rain,NaN
6,18545150,GOOD,sky is clear,NaN
7,18545165,GOOD,sky is clear,NaN
8,18545177,GOOD,NaN,NaN
9,18545180,GOOD,light rain,NaN
10,18545198,GOOD,NaN,NaN
11,18545199,GOOD,light rain,NaN
12,18545216,GOOD,sky is clear,NaN
13,18545221,GOOD,light rain,NaN
14,18717982,NaN,light rain,NaN
15,18727848,NaN,moderate rain,light rain
16,18545237,GOOD,broken clouds,clear sky
17,18760965,NaN,NaN,NaN
18,18545248,GOOD,sky is clear,clear sky
19,18545249,GOOD,light rain,overcast clouds
20,18766593,NaN,scattered clouds,overcast clouds
21,18545268,GOOD,sky is clear,few clouds
22,18545278,GOOD,sky is clear,scattered clouds
23,18545283,GOOD,sky is clear,clear sky
24,18545295,GOOD,few clouds,clear sky
25,18545302,GOOD,light rain,overcast clouds
26,18545316,GOOD,overcast clouds,few clouds
27,18545095,GOOD,broken clouds,NaN
28,18545101,GOOD,broken clouds,NaN
29,18545113,GOOD,sky is clear,NaN
30,18545123,GOOD,few clouds,NaN
31,18545138,GOOD,light rain,NaN
32,18545140,GOOD,light rain,NaN
33,18545157,GOOD,sky is clear,NaN
34,18545162,GOOD,sky is clear,NaN
35,18545173,GOOD,scattered clouds,NaN
36,18545181,GOOD,broken clouds,NaN
37,18545190,GOOD,light rain,NaN
38,18545208,GOOD,broken clouds,NaN
39,18545213,GOOD,broken clouds,NaN
40,18545227,GOOD,sky is clear,NaN
41,18545236,GOOD,light rain,few clouds
42,18760967,NaN,sky is clear,clear sky
45,18545259,GOOD,overcast clouds,scattered clouds
46,18777372,NaN,broken clouds,clear sky
47,18545270,GOOD,sky is clear,clear sky
48,18545251,GOOD,sky is clear,clear sky
49,18545284,GOOD,few clouds,clear sky
50,18545296,GOOD,overcast clouds,clear sky
51,18545304,GOOD,sky is clear,clear sky
52,18545314,GOOD,overcast clouds,scattered clouds
53,18545091,GOOD,sky is clear,NaN
54,18545105,GOOD,sky is clear,NaN
55,18545110,GOOD,sky is clear,NaN
58,18545142,GOOD,broken clouds,NaN
59,18545155,GOOD,scattered clouds,NaN
60,18545168,GOOD,sky is clear,NaN
61,18545178,GOOD,overcast clouds,NaN
62,18545185,GOOD,overcast clouds,NaN
63,18545193,GOOD,light rain,NaN
64,18545205,GOOD,moderate rain,NaN
65,18545210,GOOD,sky is clear,NaN
66,18545225,GOOD,moderate rain,NaN
67,18545234,GOOD,broken clouds,clear sky
68,18760977,NaN,sky is clear,few clouds
69,18545244,GOOD,light rain,overcast clouds
70,18766592,NaN,light rain,clear sky
71,18545264,GOOD,few clouds,few clouds
72,18545275,GOOD,sky is clear,clear sky
73,18545255,GOOD,sky is clear,clear sky
74,18545282,GOOD,sky is clear,clear sky
