,fixture_id,pitch,weatherDescription,current
0,18165612,NaN,moderate rain,
1,18165627,NaN,NaN,NaN
2,18165636,NaN,light rain,
3,18165643,NaN,moderate rain,
4,18165657,NaN,moderate rain,
5,18165659,NaN,light rain,
6,18165670,NaN,light rain,
7,18165789,NaN,light rain,
8,18165796,NaN,moderate rain,
9,18165809,NaN,moderate rain,
10,18165821,NaN,moderate rain,
11,18165871,NaN,light rain,
12,18165832,NaN,light rain,
13,18165840,NaN,moderate rain,
14,18165851,NaN,moderate rain,
15,18449034,NaN,rain and snow,
16,18165879,NaN,light rain,
17,18165861,NaN,NaN,NaN
18,18451727,NaN,NaN,NaN
19,18165892,NaN,moderate rain,
20,18165894,NaN,moderate rain,
21,18455469,NaN,NaN,NaN
22,18165911,NaN,light rain,
23,18464578,NaN,NaN,NaN
24,18165931,NaN,moderate rain,
25,18473802,NaN,NaN,NaN
26,18165936,NaN,few clouds,
27,18490984,NaN,NaN,NaN
28,18165951,NaN,moderate rain,
29,18165962,NaN,sky is clear,
30,18165971,NaN,light rain,
31,18165614,NaN,NaN,NaN
32,18165624,NaN,sky is clear,
33,18165628,NaN,moderate rain,
34,18165654,NaN,NaN,NaN
35,18165667,NaN,scattered clouds,
36,18165674,NaN,light rain,
37,18165791,NaN,NaN,NaN
38,18165795,NaN,NaN,NaN
39,18165812,NaN,sky is clear,
40,18165822,NaN,NaN,NaN
41,18165870,NaN,light rain,
42,18165831,NaN,NaN,NaN
43,18165835,NaN,few clouds,
44,18165852,NaN,NaN,NaN
45,18449028,NaN,NaN,NaN
46,18165878,NaN,moderate rain,
48,18451738,NaN,NaN,NaN
49,18165890,NaN,sky is clear,
50,18165647,NaN,NaN,NaN
51,18165901,NaN,NaN,NaN
52,18455471,NaN,NaN,NaN
53,18165912,NaN,NaN,NaN
54,18165922,NaN,sky is clear,
55,18165932,NaN,NaN,NaN
56,18165935,NaN,moderate rain,
57,18165952,NaN,NaN,NaN
58,18165957,NaN,overcast clouds,
59,18165972,NaN,NaN,NaN
60,18165617,NaN,sky is clear,
61,18165625,NaN,moderate rain,
62,18165630,NaN,light rain,
63,18165646,NaN,moderate rain,
64,18165656,NaN,moderate rain,
65,18165770,NaN,moderate rain,
67,18165788,NaN,light rain,
68,18165810,NaN,sky is clear,
69,18165820,NaN,moderate rain,
70,18165872,NaN,light rain,
72,18165837,NaN,moderate rain,
74,18165850,NaN,moderate rain,
75,18165798,NaN,light rain,
76,18165877,NaN,moderate rain,
77,18165859,NaN,light rain,
78,18165889,NaN,moderate rain,
79,18165913,NaN,broken clouds,
80,18165897,NaN,few clouds,
81,18455464,NaN,NaN,NaN
82,18165908,NaN,light rain,
83,18464582,NaN,NaN,NaN
84,18165928,NaN,moderate rain,
85,18473799,NaN,NaN,NaN
86,18165940,NaN,moderate rain,
88,18165960,NaN,heavy intensity rain,
91,18165623,NaN,light rain,
93,18165641,NaN,light rain,
94,18165650,NaN,moderate rain,
95,18165662,NaN,light rain,
96,18165676,NaN,moderate rain,
97,18165790,NaN,light rain,
98,18165806,NaN,light rain,
99,18165817,NaN,moderate rain,
