,fixture_id,pitch,weatherDescription,current
0,1072139,NaN,NaN,NaN
1,1223,NaN,NaN,NaN
2,1341,NaN,NaN,NaN
3,1522,NaN,NaN,NaN
4,1610,NaN,NaN,NaN
5,1688,NaN,NaN,NaN
6,1071201,NaN,NaN,NaN
7,1739,NaN,NaN,NaN
8,1858,NaN,NaN,NaN
9,2007,NaN,NaN,NaN
10,2073,NaN,NaN,NaN
11,1070149,NaN,NaN,NaN
12,2219,NaN,NaN,NaN
13,2314,NaN,NaN,NaN
14,2475,NaN,NaN,NaN
15,2524,NaN,NaN,NaN
16,2616,NaN,NaN,NaN
17,2731,NaN,NaN,NaN
18,2892,NaN,NaN,NaN
19,1070099,NaN,NaN,NaN
20,3009,NaN,NaN,NaN
21,3043,NaN,NaN,NaN
22,3236,NaN,NaN,NaN
23,4393,NaN,NaN,NaN
24,1069282,NaN,NaN,NaN
25,4574,NaN,NaN,NaN
26,4844,NaN,NaN,NaN
27,1070040,NaN,NaN,NaN
28,1067877,NaN,NaN,NaN
29,1070048,NaN,NaN,NaN
30,5175,NaN,NaN,NaN
31,1067756,NaN,NaN,NaN
32,5363,NaN,NaN,NaN
33,5438,NaN,NaN,NaN
34,1067677,NaN,NaN,NaN
35,5609,NaN,NaN,NaN
36,5686,NaN,NaN,NaN
37,5823,NaN,NaN,NaN
38,1213,NaN,NaN,NaN
39,1302,NaN,NaN,NaN
40,1530,NaN,NaN,NaN
41,1540,NaN,NaN,NaN
42,1649,NaN,NaN,NaN
43,1070895,NaN,NaN,NaN
44,1809,NaN,NaN,NaN
45,1918,NaN,NaN,NaN
46,1947,NaN,NaN,NaN
47,2120,NaN,NaN,NaN
48,2228,NaN,NaN,NaN
49,2399,NaN,NaN,NaN
50,2466,NaN,NaN,NaN
51,2504,NaN,NaN,NaN
52,2669,NaN,NaN,NaN
53,2752,NaN,NaN,NaN
54,2878,NaN,NaN,NaN
56,3129,NaN,NaN,NaN
57,3213,NaN,NaN,NaN
58,4498,NaN,NaN,NaN
59,1069263,NaN,NaN,NaN
60,4790,NaN,NaN,NaN
61,5072,NaN,NaN,NaN
62,1067906,NaN,NaN,NaN
63,5278,NaN,NaN,NaN
64,5299,NaN,NaN,NaN
65,5405,NaN,NaN,NaN
66,1067705,NaN,NaN,NaN
